humanID,choID,humanSymbol
162,100752826,AP1B1
163,100750609,AP2B1
164,100755260,AP1G1
165,100762528,AEBP1
166,100769877,AES
167,100756652,CRISP1
173,100757632,AFM
174,100768980,AFP
174,100759078,AFP
175,100754017,AGA
176,100764201,ACAN
177,100757624,AGER
178,100772306,AGL
181,100762653,AGRP
182,100750525,JAG1
183,100773858,AGT
185,100755233,AGTR1
185,100750798,AGTR1
186,100750901,AGTR2
187,100759527,APLNR
189,100771278,AGXT
190,100754328,NR0B1
191,100750969,AHCY
196,100682538,AHR
197,100765165,AHSG
199,100764184,AIF1
202,100774444,AIM1
203,100759346,AK1
203,100774576,AK1
204,100756723,AK2
205,100774512,AK4
205,100755987,AK4
207,100769460,AKT1
208,100768351,AKT2
210,100752314,ALAD
211,100766370,ALAS1
212,100753315,ALAS2
213,100768954,ALB
214,100774312,ALCAM
215,100769988,ABCD1
216,100768367,ALDH1A1
216,100761706,ALDH1A1
216,100768654,ALDH1A1
217,100772225,ALDH2
218,100757371,ALDH3A1
219,100765516,ALDH1B1
220,100768227,ALDH1A3
221,100756470,ALDH3B1
221,100755596,ALDH3B1
222,100763332,ALDH3B2
223,100758951,ALDH9A1
224,100757658,ALDH3A2
225,100758232,ABCD2
226,103159994,ALDOA
226,100771717,ALDOA
229,100755179,ALDOB
230,100760749,ALDOC
231,100751272,AKR1B1
238,100760366,ALK
239,100764620,ALOX12
240,100772492,ALOX5
241,100760744,ALOX5AP
242,100761707,ALOX12B
246,100764916,ALOX15
247,100754473,ALOX15B
248,100750903,ALPI
248,103159036,ALPI
248,100751196,ALPI
248,103159088,ALPI
248,100751774,ALPI
248,100750606,ALPI
249,100771587,ALPL
257,100770020,ALX3
258,100773253,AMBN
259,100750686,AMBP
262,100757144,AMD1
262,100774596,AMD1
262,100769515,AMD1
262,100773963,AMD1
265,100761271,AMELX
267,100762626,AMFR
268,100759997,AMH
268,103160346,AMH
269,100772657,AMHR2
270,100757901,AMPD1
271,100774910,AMPD2
272,100758386,AMPD3
273,100767913,AMPH
274,100772852,BIN1
275,100763091,AMT
276,100767001,AMY1A
276,100766318,AMY1A
283,100755402,ANG
283,103159967,ANG
284,100774625,ANGPT1
285,100756240,ANGPT2
286,103159141,ANK1
286,100754018,ANK1
286,103159380,ANK1
286,103159382,ANK1
287,100757830,ANK2
288,100767295,ANK3
290,100751632,ANPEP
291,100751779,SLC25A4
292,100769087,SLC25A5
301,100768079,ANXA1
302,100760539,ANXA2
306,100762572,ANXA3
307,100771507,ANXA4
308,100759361,ANXA5
309,100759027,ANXA6
310,100763423,ANXA7
311,100752736,ANXA11
312,103158836,ANXA13
313,100768833,AOAH
314,100762635,AOC2
316,100765774,AOX1
316,100765484,AOX1
317,100758500,APAF1
318,100769146,NUDT2
319,100775063,APOF
320,100774931,APBA1
321,100763312,APBA2
322,100760848,APBB1
323,100755787,APBB2
324,100750563,APC
325,100772827,APCS
326,100768045,AIRE
327,100761732,APEH
328,100689281,APEX1
329,100756596,BIRC2
330,100761700,BIRC3
331,100689374,XIAP
332,100769162,BIRC5
332,100689366,BIRC5
332,103163227,BIRC5
333,100773034,APLP1
334,100758329,APLP2
335,100772590,APOA1
336,100768641,APOA2
337,100774995,APOA4
338,100762698,APOB
339,100760326,APOBEC1
341,103159291,APOC1
343,100762692,AQP8
344,100774395,APOC2
345,100689174,APOC3
345,100774705,APOC3
346,100774105,APOC4
347,100774049,APOD
348,100773810,APOE
350,100762364,APOH
351,100689222,APP
353,100765665,APRT
355,100762537,FAS
356,100773293,FASLG
357,103161952,SHROOM2
357,103161951,SHROOM2
357,103161950,SHROOM2
357,100751470,SHROOM2
357,103164163,SHROOM2
357,103161947,SHROOM2
357,103161949,SHROOM2
357,100752637,SHROOM2
358,100773231,AQP1
359,100773344,AQP2
360,100758981,AQP3
361,100770342,AQP4
362,100773918,AQP5
363,100750886,AQP6
364,100760137,AQP7
366,100772598,AQP9
367,100752675,AR
368,100752070,ABCC6
369,100751432,ARAF
372,100758971,ARCN1
373,100761294,TRIM23
374,100772017,AREG
375,103163515,ARF1
375,100757864,ARF1
377,100766631,ARF3
378,100769922,ARF4
379,100767745,ARL4D
379,100766671,ARL4D
381,100759676,ARF5
382,100774654,ARF6
383,100750727,ARG1
384,100760459,ARG2
387,100757042,RHOA
387,100762797,RHOA
388,100774759,RHOB
389,100774717,RHOC
390,100755904,RND3
391,100761011,RHOG
392,100754369,ARHGAP1
393,100775066,ARHGAP4
394,100765474,ARHGAP5
395,100763825,ARHGAP6
396,100767064,ARHGDIA
397,100753905,ARHGDIB
398,100757877,ARHGDIG
399,100768495,RHOH
400,100751351,ARL1
400,100757060,ARL1
401,103160636,PHOX2A
402,100760039,ARL2
403,100757638,ARL3
405,100752106,ARNT
406,100755141,ARNTL
407,100770938,ARR3
408,100754574,ARRB1
409,100750830,ARRB2
410,100754567,ARSA
411,100759794,ARSB
415,100773060,ARSE
417,100759929,ART1
419,100772803,ART3
419,100771336,ART3
420,100757103,ART4
421,100773799,ARVCF
427,100771068,ASAH1
429,100772145,ASCL1
430,100762061,ASCL2
432,100763164,ASGR1
433,100768020,ASGR2
434,100750676,ASIP
435,100756687,ASL
439,100761936,ASNA1
440,100760225,ASNS
443,100767695,ASPA
444,100755768,ASPH
445,100762274,ASS1
460,100753322,ASTN1
462,100750462,SERPINC1
463,100759927,ZFHX3
466,100773050,ATF1
467,100763246,ATF3
468,100689386,ATF4
471,100750895,ATIC
472,100754226,ATM
473,100770191,RERE
474,100769461,ATOH1
475,100760386,ATOX1
476,100771378,ATP1A1
477,100763478,ATP1A2
478,100758209,ATP1A3
479,100765522,ATP12A
480,100763191,ATP1A4
481,100760718,ATP1B1
482,100757379,ATP1B2
483,100765669,ATP1B3
486,100771061,FXYD2
487,100763714,ATP2A1
488,100751820,ATP2A2
489,100756356,ATP2A3
490,100764066,ATP2B1
491,100759670,ATP2B2
492,100753233,ATP2B3
493,100764868,ATP2B4
495,100767384,ATP4A
496,100750430,ATP4B
498,100770431,ATP5A1
501,100756509,ALDH7A1
506,100763024,ATP5B
509,100760824,ATP5C1
513,100766108,ATP5D
514,100762406,ATP5E
514,103162776,ATP5E
515,100774535,ATP5F1
516,100771114,ATP5G1
516,100752739,ATP5G1
517,100772366,ATP5G2
518,100754380,ATP5G3
521,100766302,ATP5I
522,100756936,ATP5J
523,100768315,ATP6V1A
525,100756094,ATP6V1B1
526,100774665,ATP6V1B2
527,100772184,ATP6V0C
528,100773930,ATP6V1C1
529,100755187,ATP6V1E1
533,100754687,ATP6V0B
534,100765359,ATP6V1G2
535,100756648,ATP6V0A1
537,100760638,ATP6AP1
538,100689242,ATP7A
539,100770018,ATP5O
540,100770719,ATP7B
545,100766256,ATR
546,100767383,ATRX
547,100770614,KIF1A
549,100774025,AUH
550,100760920,AUP1
552,100756428,AVPR1A
553,100757693,AVPR1B
554,100768840,AVPR2
558,100772486,AXL
563,100773168,AZGP1
567,100689409,B2M
570,100756252,BAAT
570,100756541,BAAT
571,100770017,BACH1
572,100760426,BAD
573,100759550,BAG1
575,100766156,ADGRB1
576,100774076,ADGRB2
577,100753086,ADGRB3
578,100689368,BAK1
579,100768166,NKX3-2
580,100750589,BARD1
581,100689032,BAX
582,100767595,BBS1
583,100756643,BBS2
585,100755264,BBS4
586,100763658,BCAT1
587,100752344,BCAT2
590,100767789,BCHE
593,100774234,BCKDHA
594,100774277,BCKDHB
595,100689063,CCND1
596,100774873,BCL2
597,100758620,BCL2A1
598,100689371,BCL2L1
599,103159537,BCL2L2
602,100751077,BCL3
604,100773755,BCL6
605,100753895,BCL7A
607,100751238,BCL9
608,100753580,TNFRSF17
610,100751563,HCN2
611,100751225,OPN1SW
613,100768252,BCR
617,100771607,BCS1L
622,100774340,BDH1
623,100759905,BDKRB1
624,100759615,BDKRB2
627,100768664,BDNF
629,100758781,CFB
631,100772902,BFSP1
632,100763202,BGLAP
633,100771022,BGN
634,103160337,CEACAM1
634,103161993,CEACAM1
634,100756319,CEACAM1
634,100766202,CEACAM1
635,100754488,BHMT
636,100762966,BICD1
637,100754606,BID
638,100768268,BIK
639,100759446,PRDM1
640,100755534,BLK
641,100762862,BLM
642,100754419,BLMH
643,100770604,CXCR5
644,100751522,BLVRA
645,100768929,BLVRB
646,100768562,BNC1
649,100751120,BMP1
650,100752564,BMP2
651,100766849,BMP3
651,103159620,BMP3
652,100754303,BMP4
653,100763439,BMP5
654,100768517,BMP6
655,100759897,BMP7
656,100773147,BMP8B
656,100771494,BMP8B
657,100750332,BMPR1A
658,100774629,BMPR1B
659,100764519,BMPR2
660,100751568,BMX
661,100767520,POLR3D
662,100770337,BNIP1
663,100750620,BNIP2
664,100774634,BNIP3
665,100759633,BNIP3L
666,100773011,BOK
667,100773919,DST
668,103162418,FOXL2
669,100757548,BPGM
670,100761605,BPHL
671,100759574,BPI
672,100770724,BRCA1
673,100771486,BRAF
675,100689197,BRCA2
676,100768519,BRDT
677,100759015,ZFP36L1
678,103162508,ZFP36L2
678,103160773,ZFP36L2
678,103160372,ZFP36L2
680,100763382,BRS3
682,100689246,BSG
683,100773468,BST1
684,100689092,BST2
685,100763277,BTC
686,100755324,BTD
687,100771438,KLF9
688,100774271,KLF5
689,100759921,BTF3
689,100764179,BTF3
689,100756079,BTF3
694,100755272,BTG1
694,100765745,BTG1
695,100772144,BTK
696,100760393,BTN1A1
696,100765650,BTN1A1
696,103158596,BTN1A1
699,100772514,BUB1
701,100754771,BUB1B
705,100765734,BYSL
705,100770504,BYSL
705,100762361,BYSL
705,100758046,BYSL
705,103163812,BYSL
705,100756507,BYSL
705,100772765,BYSL
705,100769168,BYSL
706,100768847,TSPO
708,100754945,C1QBP
710,100756452,SERPING1
712,100766409,C1QA
713,100766700,C1QB
714,100769576,C1QC
715,100768476,C1R
716,100759777,C1S
717,100759069,C2
718,100763958,C3
719,100771140,C3AR1
720,100767983,C4A
722,100772713,C4BPA
722,100772422,C4BPA
725,100773000,C4BPB
726,100768370,CAPN5
727,103161580,C5
727,100753577,C5
727,100753276,C5
727,100753880,C5
728,100766822,C5AR1
729,100766699,C6
730,100769002,C7
731,100774244,C8A
732,100773949,C8B
733,100763555,C8G
734,100752524,OSGIN2
735,100774096,C9
738,100767235,VPS51
740,100765777,MRPL49
741,100766069,ZNHIT2
744,100765784,MPPED2
745,100756693,MYRF
746,100774554,TMEM258
746,100774680,TMEM258
747,100756392,DAGLA
752,100765726,FMNL1
753,100758578,LDLRAD4
754,100756425,PTTG1IP
755,100761839,C21orf2
757,100757829,TMEM50B
758,100769889,MPPED1
759,100772227,CA1
760,100774844,CA2
761,100774549,CA3
762,100760390,CA4
762,100752607,CA4
763,100755419,CA5A
765,100754196,CA6
765,100761433,CA6
766,100769849,CA7
767,100765172,CA8
768,100756257,CA9
770,100750594,CA11
771,100772435,CA12
773,100758171,CACNA1A
774,100770495,CACNA1B
775,100754788,CACNA1C
776,100772497,CACNA1D
777,100773594,CACNA1E
778,100757994,CACNA1F
779,100765508,CACNA1S
780,100762536,DDR1
781,100764769,CACNA2D1
782,100757399,CACNB1
783,100774766,CACNB2
784,100768080,CACNB3
785,100765888,CACNB4
786,100766592,CACNG1
788,100765000,SLC25A20
790,100689232,CAD
793,100751076,CALB1
794,100754392,CALB2
795,100758675,S100G
796,100772276,CALCA
797,100774487,CALCB
799,100765683,CALCR
800,103160517,CALD1
800,100763421,CALD1
801,100771772,CALM1
805,100765281,CALM2
808,100762749,CALM3
810,100766751,CALML3
811,100689096,CALR
811,100760153,CALR
813,100750933,CALU
814,100774010,CAMK4
815,100765253,CAMK2A
816,100769205,CAMK2B
817,100752268,CAMK2D
818,100763272,CAMK2G
819,100769365,CAMLG
820,100765346,CAMP
820,100764766,CAMP
820,100767672,CAMP
821,100689345,CANX
822,100774775,CAPG
823,100758636,CAPN1
824,100771239,CAPN2
825,100758723,CAPN3
826,100770160,CAPNS1
827,100773921,CAPN6
828,100759707,CAPS
829,100750522,CAPZA1
830,100753621,CAPZA2
831,100761152,CAST
832,100755876,CAPZB
833,100761418,CARS
834,100759171,CASP1
835,100689445,CASP2
836,100689061,CASP3
837,100759746,CASP4
839,100766458,CASP6
840,100766857,CASP7
841,100689369,CASP8
842,103160479,CASP9
842,100689370,CASP9
844,100762901,CASQ1
845,100752020,CASQ2
846,100759878,CASR
846,103159372,CASR
846,103163660,CASR
846,103163658,CASR
846,100773387,CASR
846,103159253,CASR
846,103159254,CASR
846,100754639,CASR
846,100750604,CASR
846,100769167,CASR
846,100766791,CASR
847,100773774,CAT
857,100753021,CAV1
858,100751645,CAV2
859,100773488,CAV3
860,100753922,RUNX2
860,103158542,RUNX2
861,100758283,RUNX1
862,100768348,RUNX1T1
863,100764900,CBFA2T3
864,100758568,RUNX3
865,100765267,CBFB
866,100766333,SERPINA6
867,100754737,CBL
868,100774600,CBLB
869,100760568,CBLN1
871,100689327,SERPINH1
873,100752270,CBR1
873,100752869,CBR1
873,103163344,CBR1
873,100689019,CBR1
873,100689020,CBR1
873,100753466,CBR1
874,100689021,CBR3
875,100762141,CBS
881,100757067,CCIN
883,100769821,KYAT1
885,100772438,CCK
886,100774917,CCKAR
887,100754060,CCKBR
889,100758813,KRIT1
890,100759649,CCNA2
891,100770842,CCNB1
892,100764362,CCNC
894,100771544,CCND2
896,100766025,CCND3
898,100753358,CCNE1
899,100774506,CCNF
900,100771963,CCNG1
901,100753075,CCNG2
902,100762144,CCNH
904,100758059,CCNT1
905,100764441,CCNT2
905,103160072,CCNT2
905,103160073,CCNT2
908,100754913,CCT6A
912,100765246,CD1D
912,100763497,CD1D
914,100769473,CD2
915,100756906,CD3D
916,100757488,CD3E
917,100757196,CD3G
919,100771291,CD247
920,100766761,CD4
921,100764231,CD5
922,100759713,CD5L
923,100751977,CD6
924,100751416,CD7
925,100766512,CD8A
926,100769972,CD8B
928,100764427,CD9
929,100757057,CD14
930,100765953,CD19
931,100753107,MS4A1
932,100765384,MS4A3
933,100752625,CD22
939,100751906,CD27
940,100769830,CD28
941,100760030,CD80
942,100769382,CD86
943,100762705,TNFRSF8
944,100753833,TNFSF8
945,100761955,CD33
945,100753674,CD33
947,100771922,CD34
948,100765055,CD36
949,100736552,SCARB1
950,100771629,SCARB2
951,100771511,CD37
952,100773187,CD38
953,100762593,ENTPD1
954,100771642,ENTPD2
955,100765414,ENTPD6
956,100772668,ENTPD3
957,100751454,ENTPD5
958,100770242,CD40
959,100763089,CD40LG
960,100750640,CD44
961,100770433,CD47
962,100753914,CD48
963,100772300,CD53
966,100772910,CD59
967,100772167,CD63
968,100762586,CD68
969,100769507,CD69
970,100750972,CD70
971,100756547,CD72
972,100766126,CD74
973,100759072,CD79A
974,100770248,CD79B
975,100759632,CD81
976,100761362,ADGRE5
977,100754541,CD151
978,100754972,CDA
983,100758066,CDK1
983,100766716,CDK1
984,103159124,CDK11B
984,100758733,CDK11B
984,100773864,CDK11B
984,100773089,CDK11B
984,103159172,CDK11B
984,103164540,CDK11B
987,100762923,LRBA
987,103163410,LRBA
988,100756825,CDC5L
989,100773521,SEPT7
990,100689243,CDC6
991,100767761,CDC20
993,100767961,CDC25A
994,100765509,CDC25B
995,100773417,CDC25C
996,100770539,CDC27
997,100750683,CDC34
998,100765433,CDC42
999,100758185,CDH1
1000,100689204,CDH2
1001,100758473,CDH3
1002,103160107,CDH4
1003,100767079,CDH5
1004,100767269,CDH6
1005,100764852,CDH7
1006,100758353,CDH8
1007,100758572,CDH9
1008,100768913,CDH10
1009,100767551,CDH11
1010,100756950,CDH12
1012,100751312,CDH13
1013,100764305,CDH15
1014,100761107,CDH16
1015,100761958,CDH17
1016,100751447,CDH18
1017,100689039,CDK2
1018,100759733,CDK3
1019,100760122,CDK4
1020,100762907,CDK5
1021,100764515,CDK6
1022,100769780,CDK7
1024,100759285,CDK8
1025,100757719,CDK9
1026,100689175,CDKN1A
1027,100689401,CDKN1B
1028,103161827,CDKN1C
1028,103164177,CDKN1C
1029,100764983,CDKN2A
1031,100774733,CDKN2C
1032,100758546,CDKN2D
1032,103161695,CDKN2D
1033,100752216,CDKN3
1036,100760315,CDO1
1038,100769322,CDR1
1039,100765677,CDR2
1040,100761973,CDS1
1041,100761666,CDSN
1043,103161822,CD52
1044,103160454,CDX1
1044,100764671,CDX1
1045,100762482,CDX2
1046,100764476,CDX4
1047,100773546,CLGN
1050,103163461,CEBPA
1052,100771036,CEBPD
1053,100770450,CEBPE
1054,100770190,CEBPG
1054,103163460,CEBPG
1056,100771549,CEL
1058,100689459,CENPA
1059,100689274,CENPB
1060,100761015,CENPC
1062,100771167,CENPE
1063,100752075,CENPF
1066,100769715,CES1
1066,100765753,CES1
1066,100761459,CES1
1068,100768500,CETN1
1068,100757090,CETN1
1069,100768482,CETN2
1070,100765724,CETN3
1071,100758852,CETP
1072,100760435,CFL1
1073,100757641,CFL2
1075,100769144,CTSC
1080,100754506,CFTR
1081,100689452,CGA
1082,100689384,CGB3
1084,100763744,CEACAM3
1088,103158600,CEACAM8
1089,103164431,CEACAM4
1101,100758456,CHAD
1102,100750578,RCBTB2
1103,100756785,CHAT
1104,100757107,RCC1
1104,100769945,RCC1
1104,100756821,RCC1
1105,100751866,CHD1
1106,100756099,CHD2
1107,100755630,CHD3
1108,100754178,CHD4
1109,100769523,AKR1C4
1109,100769236,AKR1C4
1109,100770100,AKR1C4
1111,100751099,CHEK1
1112,100768709,FOXN3
1113,100766424,CHGA
1114,100773273,CHGB
1116,100760271,CHI3L1
1118,100750757,CHIT1
1120,100770695,CHKB
1121,100763141,CHM
1122,100772631,CHML
1123,100755161,CHN1
1124,100757437,CHN2
1128,100755522,CHRM1
1129,100770997,CHRM2
1130,100768280,LYST
1131,100753955,CHRM3
1132,100752496,CHRM4
1133,100773423,CHRM5
1134,100755935,CHRNA1
1135,100757795,CHRNA2
1136,100763280,CHRNA3
1137,100760001,CHRNA4
1138,100762991,CHRNA5
1139,100760319,CHRNA7
1140,100758816,CHRNB1
1141,100761068,CHRNB2
1142,100774746,CHRNB3
1143,100763565,CHRNB4
1144,100763831,CHRND
1145,100769735,CHRNE
1146,100764120,CHRNG
1147,100754432,CHUK
1149,100763404,CIDEA
1152,100774847,CKB
1153,100689075,CIRBP
1154,100774955,CISH
1155,100770447,TBCB
1158,100754895,CKM
1159,100754659,CKMT1B
1160,100752172,CKMT2
1161,100755229,ERCC8
1163,100760892,CKS1B
1163,103160037,CKS1B
1164,100760104,CKS2
1173,100773058,AP2M1
1174,100759417,AP1S1
1175,100764194,AP2S1
1176,100770551,AP3S1
1179,100754570,CLCA1
1179,100766670,CLCA1
1180,100751277,CLCN1
1181,100769999,CLCN2
1182,100759588,CLCN3
1183,100762547,CLCN4
1184,100754025,CLCN5
1185,100774640,CLCN6
1186,100773701,CLCN7
1187,100753750,CLCNKA
1187,100753449,CLCNKA
1191,100756447,CLU
1192,100761384,CLIC1
1195,100758582,CLK1
1196,100755756,CLK2
1198,100756143,CLK3
1200,100759190,TPP1
1201,100754370,CLN3
1203,100763877,CLN5
1207,100768284,CLNS1A
1208,100760027,CLPS
1209,100752525,CLPTM1
1211,100758987,CLTA
1212,100767928,CLTB
1213,100756644,CLTC
1215,100767563,CMA1
1215,100756053,CMA1
1230,100761868,CCR1
1230,100761586,CCR1
1232,100762154,CCR3
1233,100770515,CCR4
1234,100762740,CCR5
1235,100756572,CCR6
1236,100773169,CCR7
1237,100753346,CCR8
1238,100766393,ACKR2
1240,100760709,CMKLR1
1240,103161573,CMKLR1
1241,100769281,LTB4R
1244,100689220,ABCC2
1258,100763240,CNGB1
1258,103159708,CNGB1
1259,100768599,CNGA1
1260,100771809,CNGA2
1261,100771361,CNGA3
1262,100753462,CNGA4
1263,100762491,PLK3
1264,100753310,CNN1
1265,100754225,CNN2
1266,100773931,CNN3
1267,100753220,CNP
1268,100768005,CNR1
1269,100752745,CNR2
1270,100774933,CNTF
1271,100753725,CNTFR
1272,100759179,CNTN1
1277,100759814,COL1A1
1278,100766269,COL1A2
1280,100755037,COL2A1
1281,100753589,COL3A1
1282,100757740,COL4A1
1284,100766914,COL4A2
1286,103158751,COL4A4
1286,100756006,COL4A4
1287,100772575,COL4A5
1288,100772869,COL4A6
1289,100772325,COL5A1
1290,100759871,COL5A2
1291,100755078,COL6A1
1292,100754390,COL6A2
1293,100770413,COL6A3
1293,103164567,COL6A3
1293,100771857,COL6A3
1293,103158737,COL6A3
1294,100689027,COL7A1
1295,100755279,COL8A1
1296,100758166,COL8A2
1297,100755811,COL9A1
1298,100753027,COL9A2
1299,100757317,COL9A3
1300,100750863,COL10A1
1301,100768858,COL11A1
1302,100766812,COL11A2
1303,100752735,COL12A1
1305,100769753,COL13A1
1306,100772437,COL15A1
1307,100768792,COL16A1
1308,100766261,COL17A1
1310,100755518,COL19A1
1311,100766091,COMP
1312,100770626,COMT
1314,100762124,COPA
1315,100774203,COPB1
1316,100750724,KLF6
1317,100689094,SLC31A1
1318,100754404,SLC31A2
1325,103161317,CORT
1326,100759538,MAP3K8
1327,100770670,COX4I1
1329,100768321,COX5B
1337,100764001,COX6A1
1339,100757101,COX6A2
1340,100768457,COX6B1
1340,100766809,COX6B1
1345,103161269,COX6C
1347,100767351,COX7A2
1347,100756540,COX7A2
1349,100764866,COX7B
1349,100772782,COX7B
1350,103158861,COX7C
1351,100755207,COX8A
1351,100762701,COX8A
1352,100764018,COX10
1353,100763079,COX11
1355,100751499,COX15
1356,100753849,CP
1357,100757667,CPA1
1358,100756609,CPA2
1359,100751382,CPA3
1360,100751091,CPB1
1361,100754304,CPB2
1362,100757331,CPD
1363,100757401,CPE
1364,100768680,CLDN4
1364,100770792,CLDN4
1365,100766489,CLDN3
1366,100766949,CLDN7
1368,100770407,CPM
1369,100752048,CPN1
1370,100770664,CPN2
1371,100772187,CPOX
1373,100760467,CPS1
1374,100762166,CPT1A
1375,100770034,CPT1B
1376,100766757,CPT2
1379,100772783,CR1L
1380,100773072,CR2
1381,100755827,CRABP1
1382,100753208,CRABP2
1384,100762198,CRAT
1385,100761582,CREB1
1386,100754663,ATF2
1387,100770451,CREBBP
1388,100767112,ATF6B
1389,100772731,CREBL2
1390,100767867,CREM
1392,103163252,CRH
1393,100757291,CRHBP
1394,100769844,CRHR1
1395,100774100,CRHR2
1396,100754628,CRIP1
1396,100774651,CRIP1
1397,100771081,CRIP2
1398,100762827,CRK
1399,100752014,CRKL
1400,100751217,CRMP1
1401,100772240,CRP
1401,100774861,CRP
1404,100766601,HAPLN1
1406,103160111,CRX
1406,100770134,CRX
1407,100761664,CRY1
1408,100774356,CRY2
1409,100762633,CRYAA
1410,100772623,CRYAB
1411,103161071,CRYBA1
1412,100769887,CRYBA2
1413,100772464,CRYBA4
1414,100772171,CRYBB1
1415,100759533,CRYBB2
1417,100759827,CRYBB3
1418,100759243,CRYGA
1419,100759531,CRYGB
1420,100759825,CRYGC
1421,100757295,CRYGD
1421,100760119,CRYGD
1421,100760411,CRYGD
1427,100765744,CRYGS
1428,100771156,CRYM
1429,100768247,CRYZ
1429,100752419,CRYZ
1431,100750580,CS
1432,100689104,MAPK14
1434,100756434,CSE1L
1435,100767142,CSF1
1436,100763221,CSF1R
1437,100765221,CSF2
1438,103163248,CSF2RA
1439,100764512,CSF2RB
1439,103158748,CSF2RB
1440,100755744,CSF3
1441,100760185,CSF3R
1445,100755922,CSK
1447,100755914,CSN2
1448,100752988,CSN3
1452,100758298,CSNK1A1
1453,100751124,CSNK1D
1454,100766643,CSNK1E
1455,100758847,CSNK1G2
1456,100773714,CSNK1G3
1457,100759365,CSNK2A1
1459,100763424,CSNK2A2
1460,100763034,CSNK2B
1462,100766891,VCAN
1463,100766384,NCAN
1464,100760376,CSPG4
1465,100756325,CSRP1
1466,100764077,CSRP2
1468,100766192,SLC25A10
1471,100771186,CST3
1471,100766583,CST3
1473,100770333,CST5
1474,100764786,CST6
1475,100767084,CSTA
1476,100768687,CSTB
1477,100761066,CSTF1
1478,100770425,CSTF2
1479,100772127,CSTF3
1482,100774866,NKX2-5
1482,103162385,NKX2-5
1485,100766651,CTAG1B
1486,103162615,CTBS
1487,100766703,CTBP1
1488,100769412,CTBP2
1489,100774620,CTF1
1490,100750810,CTGF
1491,100752127,CTH
1493,100765782,CTLA4
1495,100754399,CTNNA1
1496,100766706,CTNNA2
1497,100764451,CTNS
1499,100773307,CTNNB1
1500,100753529,CTNND1
