Human gene name	Gene name
RNU6-1264P	Gm22019
RF00026	Gm22019
RNU6-1320P	Gm22019
RF00026	Gm22019
RNU6-714P	Gm22019
RNU6-954P	Gm22019
RNU6-563P	Gm22019
RNU6-316P	Gm22019
RNU6-599P	Gm22019
RNA5SP234	n-R5s198
RNU7-48P	Gm23016
SPIN2B	Spin2f
SPIN2A	Spin2f
	Mir344d-3
RF00426	Gm23370
SCARNA4	Gm23370
RF02189	Gm27542
	Mir26b
PATL1	Patl1
	Mir6952
	Gm26501
	Gm25207
RF00622	Gm22714
RNU6-392P	Gm25464
RNU6-466P	Gm23080
PRR16	Prr16
	Mir1962
	Mir291b
RN7SKP114	Gm24385
RN7SKP207	Gm24385
RNU6-20P	Gm23503
	Gm23167
	Gm9970
	Gm25376
RNU7-48P	Gm22841
	Prss29
	Gm25936
	Gm9944
	Gm22832
	Gm26106
	4933415A04Rik
	Gm25042
	Mir6384
SNORD113-6	AF357425
SNORA67	Gm24151
BAMBI	Bambi
	9430025C20Rik
	Mir7043
	Mir6958
CCL19	Gm2564
CCNY	Ccny
	Gm23015
	Gm23834
	Gm25160
	Gm24522
	Mir669i
RPUSD1	Rpusd1
	Mir1905
RETNLB	Retnlb
RF00402	Gm22088
RF00402	Gm22088
RF00402	Gm22088
RF00402	Gm22088
RF00402	Gm22088
	Gm25420
	Gm22453
SLC22A1	Slc22a1
	Gm44357
	Gm22857
	Gm23762
	Gm23605
PAPSS2	Papss2
RNU6-546P	Gm23302
	Gm24723
RETNLB	Retnlg
RNA5S5	Gm25018
	Gm23823
CCL21	Gm10591
	Gm24692
	Gm23959
	Gm26349
PIAS2	Pias2
RNU1-24P	Gm23928
	Gm17662
	Gm22150
RNU6-400P	Gm24735
CCL21	Ccl21b
RNU1-93P	Gm26170
RNU7-48P	Gm27811
	Gm24017
YIF1A	Yif1a
	Mir1900
	Gm25837
UQCC3	Uqcc3
	Mir133c
SLC22A25	Slc22a28
SLC22A9	Slc22a28
	Mir466c-1
	Gm23709
	Gm22787
	Zfp52
RF00092	Gm23772
RF00092	Gm23772
	Mir325
	Gm25742
	n-R5s1
SMPD4	Smpd4
C9orf57	Gm3443
	Mir700
RNU6-381P	Gm23545
RNU6-17P	Gm23355
PLEKHH2	Plekhh2
	Iigp1
SNORD116-3	Gm22046
SNORD116-8	Gm22046
SNORD116-4	Gm22046
SNORD116-7	Gm22046
SNORD116-5	Gm22046
SNORD116-1	Gm22046
SNORD116-6	Gm22046
SNORD116-2	Gm22046
SNORD116-9	Gm22046
RF00108	Gm22046
	Gm23659
	Rab11b-ps2
CNDP2	Cndp2
	Mir1970
RAX	Rax
	Gm23391
	Gm24225
FAM205A	AC087559.3
	Mir6372
RNU6-717P	Gm22364
	Gm23108
RF00554	Gm23716
RF00554	Gm23716
RF00554	Gm23716
RF00554	Gm23716
SNORA48	Gm23716
RF00554	Gm23716
RF00554	Gm23716
RF00554	Gm23716
RF00554	Gm23716
RF00554	Gm23716
SNORA48B	Gm23716
RF00554	Gm23716
RF00554	Gm23716
RN7SKP179	Gm23743
	Gm23376
CBWD2	Cbwd1
CBWD5	Cbwd1
CBWD1	Cbwd1
CBWD6	Cbwd1
CBWD3	Cbwd1
	Mir6898
MYOM1	Myom1
	Gm22062
	Gm25454
RF00004	Gm22850
APCDD1	Apcdd1
FTH1	Fth1
	Gm24447
RNF151	Rnf151
	Mir6239
	Mir7070
	Mir3086
	Mir376a
MPPE1	Mppe1
SNORD88A	Snord88a
	Gm23291
	Mir199b
	1700024J04Rik
	Mir21c
	Gm24333
	Gm24549
	Mir6348
RF00012	Rnu3b2
	Mir184
	Mir6380
	Gm23604
SNORD1A	Snord1a
	Gm44403
SP140	AC125149.1
SNORA57	Snora57
RF00191	Snora57
	Gm23550
	n-R5s215
	Mir1929
	Mir34c
	9130213A22Rik
	Gm25033
RNU1-150P	Gm24004
RNU1-31P	Gm24004
RNU1-73P	Gm24004
RNU1-123P	Gm24004
	Cypt14
	Gm44463
	Rnu1b2
SNORA4	Gm24616
	Mir7072
RNU6-309P	Gm24086
RNU6-1312P	Gm24086
	Gm27441
	Mir299a
MRPL43	Mrpl43
	Gm27564
	Gm24959
RNA5SP147	n-R5s40
RF00070	Gm24633
TPSAB1	Tpsb2
TPSD1	Tpsb2
TPSB2	Tpsb2
	Gm22881
SNORA35	Snora35
RNA5SP146	n-R5s19
SNORD116-3	Snord116l2
SNORD116-8	Snord116l2
SNORD116-4	Snord116l2
SNORD116-7	Snord116l2
SNORD116-5	Snord116l2
SNORD116-1	Snord116l2
SNORD116-6	Snord116l2
SNORD116-2	Snord116l2
SNORD116-9	Snord116l2
RF00108	Snord116l2
	Gm25472
SKA1	Ska1
	Gm27656
DDB1	Ddb1
	Gm26019
	Gm21882
RF00026	Gm24517
RNU6-202P	Gm24775
	Snora17
	Fabp5l2
	Gm23214
LTN1	Ltn1
	n-R5s213
RF02198	Gm27680
	Gm22248
RF00017	Gm27896
	Gm24733
	Gm22573
SNORD16	Snord16a
	Gm22106
	Srsx
	Gm24019
	Mir375
RF02091	Gm27545
RF02091	Gm27545
RNU6-534P	Gm22983
RNU7-48P	Gm23067
	Gm23753
RNA5SP237	Gm22224
	Gm25123
	Mir6386
SNORA38	Gm23442
SNORA38B	Gm23442
	Mir128-2
	Gm24319
	Gm25653
RNU7-48P	Gm27964
	CAAA01098150.1
	Gm26423
RNA5SP361	n-R5s67
RNA5SP88	n-R5s67
	n-R5s108
	Gm24132
	Mir7047
	Gm24949
RNU6ATAC	Gm25541
	Mir5125
	Gm22646
	Mir3094
RF00561	Gm22434
	Gm22500
	Gm25538
DPPA2	Dppa2
	Gm23069
	Gm22699
	Gm22643
