GeneID	GeneSymbol	Chrom	TrAccess	PrAccess	TrID
100689011	LOC100689011	NW_003614196.1	XM_007646348.2	XP_007644538.1	rna21981
100689011	LOC100689011	NW_003614196.1	XM_007646350.1	XP_007644540.1	rna21984
100689011	LOC100689011	NW_003614196.1	XM_007646346.2	XP_007644536.1	rna21982
100689011	LOC100689011	NW_003614196.1	NM_001243997.1	NP_001230926.1	rna21985
100689015	Pex5	NW_003613610.1	XM_007646143.2	XP_007644333.1	rna2357
100689015	Pex5	NW_003613610.1	XM_016977352.1	XP_016832841.1	rna2356
100689015	Pex5	NW_003613610.1	NM_001244001.1	NP_001230930.1	rna2360
100689015	Pex5	NW_003613610.1	XM_016977348.1	XP_016832837.1	rna2355
100689015	Pex5	NW_003613610.1	XM_007646146.2	XP_007644336.1	rna2358
100689015	Pex5	NW_003613610.1	XM_007646149.2	XP_007644339.1	rna2359
100689016	Polr2a	NW_003613643.1	XM_007608356.1	XP_007606546.1	rna4505
100689017	Srebf2	NW_003673120.1	NM_001244004.1	NP_001230933.1	rna41507
100689017	Srebf2	NW_003615427.1	NM_001244004.1	NP_001230933.1	rna34802
100689018	Srebf1	NW_003613960.1	NM_001244003.1	NP_001230932.1	rna16918
100689019	Chcr1	NW_003615902.1	XM_016963121.1	XP_016818610.1	rna36685
100689019	Chcr1	NW_003615902.1	XM_007653701.2	XP_007651891.1	rna36686
100689019	Chcr1	NW_003615902.1	XM_007653700.2	XP_007651890.1	rna36687
100689020	Chcr2	NW_003615902.1	NM_001244006.1	NP_001230935.1	rna36688
100689021	Cbr3	NW_003614462.1	NM_001244007.1	NP_001230936.1	rna26337
100689022	Fpgs	NW_003614338.1	XM_016977964.1	XP_016833453.1	rna24629
100689022	Fpgs	NW_003614338.1	XM_016977965.1	XP_016833454.1	rna24631
100689022	Fpgs	NW_003614338.1	XM_016977966.1	XP_016833455.1	rna24630
100689022	Fpgs	NW_003614338.1	NM_001244009.2	NP_001230938.1	rna24632
100689023	Slc20a2	NW_003613958.1	NM_001244010.1	NP_001230939.1	rna16806
100689023	Slc20a2	NW_003613958.1	XM_007643897.2	XP_007642087.1	rna16805
100689025	Slc20a1	NW_003613665.1	NM_001244012.1	NP_001230941.1	rna5670
100689026	Ubtf	NW_003614071.1	XM_016976679.1	XP_016832168.1	rna19197
100689026	Ubtf	NW_003614071.1	NM_001244013.1	NP_001230942.1	rna19200
100689026	Ubtf	NW_003614071.1	XM_007645028.2	XP_007643218.1	rna19199
100689026	Ubtf	NW_003614071.1	XM_016976678.1	XP_016832167.1	rna19198
100689027	Col7a1	NW_003614047.1	XR_482649.2	-	rna18685
100689027	Col7a1	NW_003614047.1	XM_003504237.3	XP_003504285.1	rna18682
100689027	Col7a1	NW_003614047.1	XM_007644778.2	XP_007642968.1	rna18683
100689027	Col7a1	NW_003614047.1	XM_007644779.2	XP_007642969.1	rna18684
100689028	Dhfr	NW_003614442.1	NM_001244016.1	NP_001230945.1	rna26049
100689029	Lpin1	NW_003613839.1	NM_001244017.1	NP_001230946.1	rna12697
100689029	Lpin1	NW_003613839.1	XM_016975021.1	XP_016830510.1	rna12696
100689029	Lpin1	NW_003613839.1	XM_007641913.2	XP_007640103.1	rna12695
100689030	Slc35b4	NW_003613945.1	NM_001244018.2	NP_001230947.1	rna16543
100689031	Slc35a2	NW_003614122.1	XM_007645599.2	XP_007643789.1	rna20363
100689031	Slc35a2	NW_003614122.1	NM_001244019.1	NP_001230948.1	rna20366
100689031	Slc35a2	NW_003614122.1	XM_016976954.1	XP_016832443.1	rna20365
100689031	Slc35a2	NW_003614122.1	XM_016976955.1	XP_016832444.1	rna20364
100689032	Bax	NW_003614570.1	NM_001244020.1	NP_001230949.1	rna27677
100689033	Cyp2a14	NW_003616185.1	NM_001244021.1	NP_001230950.1	rna37503
100689034	Cyp2a17	NW_003617785.1	NM_001244022.1	NP_001230951.1	rna40019
100689034	Cyp2a17	NW_003616185.1	NM_001244022.1	NP_001230951.1	rna37505
100689035	Cyp2a15	NW_003614129.1	NM_001244023.1	NP_001230952.1	rna20692
100689036	Fut9	NW_003614811.1	NM_001244024.1	NP_001230953.1	rna30400
100689037	Gja4	NW_003613817.1	NM_001244025.1	NP_001230954.1	rna12010
100689038	Col4a3bp	NW_003614466.1	NM_001244026.1	NP_001230955.1	rna26395
100689038	Col4a3bp	NW_003614466.1	XM_007648610.1	XP_007646800.1	rna26394
100689039	Cdk2	NW_003614217.1	NM_001244027.1	NP_001230956.1	rna22596
100689040	Hmga1	NW_003614227.1	XM_007646787.2	XP_007644977.1	rna22782
100689040	Hmga1	NW_003614227.1	XM_007646794.2	XP_007644984.1	rna22783
100689040	Hmga1	NW_003614227.1	NM_001244028.1	NP_001230957.1	rna22784
100689041	Hspg2	NW_003613985.1	XM_007644229.1	XP_007642419.1	rna17453
100689042	Orc5	NW_003613887.1	XM_007642868.2	XP_007641058.1	rna14679
100689042	Orc5	NW_003613887.1	NM_001271426.1	NP_001258355.1	rna14678
100689043	Orc4	NW_003614483.1	XM_007648746.2	XP_007646936.1	rna26653
100689043	Orc4	NW_003614483.1	XM_007648747.2	XP_007646937.1	rna26652
100689043	Orc4	NW_003614483.1	NM_001271425.1	NP_001258354.1	rna26650
100689043	Orc4	NW_003614483.1	XM_007648744.2	XP_007646934.1	rna26651
100689044	Ercc4	NW_003613631.1	NM_001244032.1	NP_001230961.1	rna3500
100689045	Rpsa	NW_003614638.1	NM_001244033.1	NP_001230962.1	rna28469
100689045	Rpsa	NW_003614199.1	NM_001244033.1	NP_001230962.1	rna22072
100689046	Top1	NW_003614415.1	NM_001244034.1	NP_001230963.1	rna25688
100689047	Pex2	NW_003614201.1	XM_007646456.2	XP_007644646.1	rna22102
100689047	Pex2	NW_003614201.1	XM_007646457.2	XP_007644647.1	rna22103
100689047	Pex2	NW_003614201.1	NM_001244035.1	NP_001230964.1	rna22104
100689048	Scap	NW_003614047.1	NM_001244036.1	NP_001230965.1	rna18727
100689049	Mpdu1	NW_003613643.1	XM_016964576.1	XP_016820065.1	rna4495
100689049	Mpdu1	NW_003613643.1	XM_016964577.1	XP_016820066.1	rna4497
100689049	Mpdu1	NW_003613643.1	NM_001244037.1	NP_001230966.1	rna4496
100689050	Adapt15	NW_003613597.1	NR_045124.1	-	rna1440
100689051	Eef2	NW_003614244.1	NM_001244039.1	NP_001230968.1	rna23106
100689052	Myl6	NW_003614217.1	XM_003506187.2	XP_003506235.1	rna22576
100689052	Myl6	NW_003614217.1	XM_007646694.1	XP_007644884.1	rna22577
100689053	Rps17	NW_003615555.1	NM_001244040.1	NP_001230969.1	rna35451
100689054	Dpagt1	NW_003615154.1	NM_001244041.1	NP_001230970.1	rna33330
100689055	Lrrfip1	NW_003616745.1	XM_016963595.1	XP_016819084.1	rna38730
100689055	Lrrfip1	NW_003616745.1	XM_016963596.1	XP_016819085.1	rna38731
100689055	Lrrfip1	NW_003616745.1	XM_016963598.1	XP_016819087.1	rna38728
100689055	Lrrfip1	NW_003616745.1	XM_016963599.1	XP_016819088.1	rna38726
100689055	Lrrfip1	NW_003616745.1	XM_016963593.1	XP_016819082.1	rna38732
100689055	Lrrfip1	NW_003616745.1	XM_016963597.1	XP_016819086.1	rna38729
100689055	Lrrfip1	NW_003616745.1	XM_007654666.2	XP_007652856.1	rna38727
100689055	Lrrfip1	NW_003616745.1	XM_016963589.1	XP_016819078.1	rna38734
100689055	Lrrfip1	NW_003616745.1	XM_016963586.1	XP_016819075.1	rna38735
100689055	Lrrfip1	NW_003616745.1	XM_016963585.1	XP_016819074.1	rna38740
100689055	Lrrfip1	NW_003616745.1	XM_016963592.1	XP_016819081.1	rna38733
100689055	Lrrfip1	NW_003616745.1	XM_016963590.1	XP_016819079.1	rna38738
100689055	Lrrfip1	NW_003616745.1	XM_016963588.1	XP_016819077.1	rna38739
100689055	Lrrfip1	NW_003616745.1	XM_016963587.1	XP_016819076.1	rna38737
100689055	Lrrfip1	NW_003616745.1	XM_016963591.1	XP_016819080.1	rna38736
100689056	Ncl	NW_003615920.1	XM_016963134.1	XP_016818623.1	rna36733
100689056	Ncl	NW_003615920.1	XM_016963135.1	XP_016818624.1	rna36732
100689056	Ncl	NW_003615920.1	XM_007653721.2	XP_007651911.1	rna36731
100689057	Sdc1	NW_003613876.1	NM_001244042.1	NP_001230971.1	rna14318
100689058	Rps2	NW_003613852.1	NM_001244043.1	NP_001230972.1	rna13242
100689058	Rps2	NW_003613852.1	XM_007642121.2	XP_007640311.1	rna13241
100689059	Cxcl1	NW_003614806.1	NM_001244044.1	NP_001230973.1	rna30386
100689060	Adsl	NW_003614389.1	NM_001244045.1	NP_001230974.1	rna25237
100689061	Casp3	NW_003613593.1	XM_007641224.2	XP_007639414.1	rna1135
100689061	Casp3	NW_003613593.1	NM_001244046.1	NP_001230975.1	rna1136
100689061	Casp3	NW_003613593.1	XM_007641220.2	XP_007639410.1	rna1134
100689062	Xbp1	NW_003614142.1	NM_001244047.1	NP_001230976.1	rna20836
100689062	Xbp1	NW_003614142.1	NM_001244049.1	NP_001230978.1	rna20835
100689063	Ccnd1	NW_003614822.1	NM_001244048.1	NP_001230977.1	rna30505
100689063	Ccnd1	NW_003614822.1	XM_016979521.1	XP_016835010.1	rna30504
100689064	Ldha	NW_003614690.1	NM_001244050.1	NP_001230979.1	rna28998
100689064	Ldha	NW_003614690.1	XM_007649919.2	XP_007648109.1	rna28997
100689064	Ldha	NW_003614690.1	XM_016979142.1	XP_016834631.1	rna28996
100689064	Ldha	NW_003614690.1	XM_007649920.2	XP_007648110.1	rna28995
100689065	Gna11	NW_003614244.1	NM_001244051.1	NP_001230980.1	rna23071
100689066	Gnaq	NW_003615285.1	NM_001244052.1	NP_001230981.1	rna34058
100689066	Gnaq	NW_003617925.1	NM_001244052.1	NP_001230981.1	rna40118
100689067	Gnas	NW_003613633.1	NM_001244053.1	NP_001230982.1	rna3604
100689068	Gnai2	NW_003613788.1	NM_001244054.1	NP_001230983.1	rna11010
100689069	Gnao1	NW_003613984.1	NM_001244055.1	NP_001230984.1	rna17399
100689070	Gnai1	NW_003614092.1	NM_001244056.1	NP_001230985.1	rna19774
100689071	Gna13	NW_003613786.1	NM_001244057.1	NP_001230986.1	rna10903
100689072	Gnai3	NW_003614997.1	XM_016979939.1	XP_016835428.1	rna32191
100689072	Gnai3	NW_003614997.1	NM_001244058.1	NP_001230987.1	rna32192
100689075	Cirbp	NW_003613904.1	XR_001726692.1	-	rna15332
100689075	Cirbp	NW_003613904.1	NM_001244073.1	NP_001231002.1	rna15333
100689075	Cirbp	NW_003613904.1	XM_016975653.1	XP_016831142.1	rna15334
100689076	Mgat3	NW_003616334.1	NM_001244074.1	NP_001231003.1	rna37910
100689077	Gja1	NW_003614781.1	NM_001244075.1	NP_001231004.1	rna30057
100689078	Rad51c	NW_003614004.1	XM_007644354.2	XP_007642544.1	rna17780
100689078	Rad51c	NW_003614004.1	XM_007644355.2	XP_007642545.1	rna17781
100689078	Rad51c	NW_003614004.1	NM_001244076.1	NP_001231005.1	rna17784
100689078	Rad51c	NW_003614004.1	XM_007644357.2	XP_007642547.1	rna17783
100689078	Rad51c	NW_003614004.1	XM_007644356.2	XP_007642546.1	rna17782
100689079	Insig2	NW_003613737.1	NM_001244078.1	NP_001231007.1	rna9154
100689079	Insig2	NW_003613737.1	XM_007640186.2	XP_007638376.1	rna9155
100689080	Insig1	NW_003613769.1	NM_001244079.1	NP_001231008.1	rna10390
100689081	Slc9a3r1	NW_003613598.1	XM_007643172.1	XP_007641362.1	rna1540
100689082	Xpr1	NW_003613774.1	NM_001244085.1	NP_001231014.1	rna10516
100689083	Fut6b	NW_003613861.1	XM_016975258.1	XP_016830747.1	rna13712
100689083	Fut6b	NW_003613861.1	NM_001244087.1	NP_001231016.1	rna13713
100689084	Fut6a	NW_003613861.1	NM_001244088.1	NP_001231017.1	rna13711
100689085	Mbtps2	NW_003613731.1	XM_007640119.2	XP_007638309.1	rna8983
100689085	Mbtps2	NW_003613731.1	XM_007640118.2	XP_007638308.1	rna8984
100689085	Mbtps2	NW_003613731.1	NM_001244089.1	NP_001231018.1	rna8985
100689086	Srsf1	NW_003613683.1	XR_480099.2	-	rna6581
100689086	Srsf1	NW_003613683.1	XM_007624205.2	XP_007622395.1	rna6582
100689088	Tubb	NW_003614196.1	XM_007646352.2	XP_007644542.1	rna21946
100689088	Tubb	NW_003614196.1	NM_001244097.1	NP_001231026.1	rna21947
100689089	Tubb4b	NW_003616080.1	NM_001244098.1	NP_001231027.1	rna37189
100689090	Neu3	NW_003620877.1	NM_001244100.1	NP_001231029.1	rna40869
100689092	Bst2	NW_003613716.1	NM_001244115.1	NP_001231044.1	rna8486
100689093	Pisd	NW_003614033.1	XM_003504120.3	XP_003504168.1	rna18411
100689093	Pisd	NW_003614033.1	XM_007644647.2	XP_007642837.1	rna18413
100689093	Pisd	NW_003614033.1	XM_007644646.2	XP_007642836.1	rna18414
100689093	Pisd	NW_003614033.1	XM_003504121.3	XP_003504169.1	rna18415
100689093	Pisd	NW_003614033.1	XM_016976476.1	XP_016831965.1	rna18416
100689093	Pisd	NW_003614033.1	XM_007644645.2	XP_007642835.1	rna18410
100689093	Pisd	NW_003614033.1	XM_016976477.1	XP_016831966.1	rna18412
100689094	Slc31a1	NW_003613973.1	NM_001244117.1	NP_001231046.1	rna17132
100689095	Dnase1l1	NW_003615411.1	XM_007652793.2	XP_007650983.1	rna34694
100689095	Dnase1l1	NW_003615411.1	NM_001244118.1	NP_001231047.1	rna34695
100689096	Calr	NW_003613865.1	NM_001244122.1	NP_001231051.1	rna13933
100689097	Creld2	NW_003615458.1	NM_001244136.1	NP_001231065.1	rna34972
100689098	Mogs	NW_003615037.1	XM_003511143.2	XP_003511191.2	rna32519
100689098	Mogs	NW_003615037.1	XM_007651684.2	XP_007649874.1	rna32520
100689099	Vim	NW_003613962.1	XM_003503379.3	XP_003503427.1	rna16937
100689100	Cxcl3	NW_003614806.1	NM_001244139.1	NP_001231068.1	rna30384
100689101	Ctps1	NW_003613862.1	XM_007642469.2	XP_007640659.1	rna13782
100689101	Ctps1	NW_003613862.1	XM_016975293.1	XP_016830782.1	rna13783
100689101	Ctps1	NW_003613862.1	XM_016975294.1	XP_016830783.1	rna13784
100689101	Ctps1	NW_003613862.1	XM_007642470.2	XP_007640660.1	rna13781
100689102	Fth1	NW_003615769.1	XM_007653496.2	XP_007651686.1	rna36292
100689103	Ssb	NW_003613606.1	XM_007645424.2	XP_007643614.1	rna2025
100689104	Mapk14	NW_003614566.1	XR_001727952.1	-	rna27609
100689104	Mapk14	NW_003614566.1	XM_007649246.2	XP_007647436.2	rna27610
100689104	Mapk14	NW_003614566.1	XM_016978803.1	XP_016834292.1	rna27611
100689105	Sumo2	NW_003613598.1	NM_001244144.1	NP_001231073.1	rna1507
100689106	Akr1a1	NW_003613647.1	XM_003497372.3	XP_003497420.1	rna4854
100689173	Hs6st1	NW_003613687.1	XM_007625908.1	XP_007624098.1	rna6808
100689175	Cdkn1a	NW_003614036.1	XM_003504146.3	XP_003504194.1	rna18442
100689176	Slc7a1	NW_003613630.1	XM_003496651.3	XP_003496699.1	rna3412
100689176	Slc7a1	NW_003613630.1	XM_007652065.2	XP_007650255.1	rna3413
100689176	Slc7a1	NW_003613630.1	XM_007652068.2	XP_007650258.1	rna3414
100689176	Slc7a1	NW_003613630.1	XM_007652071.2	XP_007650261.1	rna3415
100689177	Coro7	NW_003614230.1	XM_007646863.2	XP_007645053.1	rna22875
100689177	Coro7	NW_003614230.1	XM_007646864.2	XP_007645054.1	rna22876
100689182	S1pr3	NW_003613980.1	XM_003503548.1	XP_003503596.1	rna17290
100689183	S1pr2	NW_003613752.1	XM_007640504.2	XP_007638694.1	rna9818
100689183	S1pr2	NW_003613752.1	XM_016974338.1	XP_016829827.1	rna9817
100689184	S1pr5	NW_003613752.1	XM_003499733.1	XP_003499781.1	rna9785
100689185	Tlr6	NW_003619946.1	XM_003515801.3	XP_003515849.2	rna40781
100689186	Il6	NW_003614383.1	XM_003507441.3	XP_003507489.1	rna25174
100689187	St3gal3	NW_003613906.1	XM_016975712.1	XP_016831201.1	rna15454
100689187	St3gal3	NW_003613906.1	XM_016975711.1	XP_016831200.1	rna15452
100689187	St3gal3	NW_003613906.1	XM_016975710.1	XP_016831199.1	rna15456
100689187	St3gal3	NW_003613906.1	XM_016975713.1	XP_016831202.1	rna15459
100689187	St3gal3	NW_003613906.1	XM_007643284.2	XP_007641474.1	rna15453
100689187	St3gal3	NW_003613906.1	XM_016975715.1	XP_016831204.1	rna15457
100689187	St3gal3	NW_003613906.1	XM_003502691.3	XP_003502739.1	rna15455
100689187	St3gal3	NW_003613906.1	XM_016975714.1	XP_016831203.1	rna15458
100689188	Slc38a2	NW_003614891.1	XM_016979699.1	XP_016835188.1	rna31284
100689188	Slc38a2	NW_003614891.1	XM_003510474.3	XP_003510522.1	rna31283
100689189	P2ry2	NW_003617903.1	XM_003515378.3	XP_003515426.1	rna40101
100689190	Gnat1	NW_003613788.1	XM_007641105.2	XP_007639295.1	rna11013
100689190	Gnat1	NW_003613788.1	XM_007641104.2	XP_007639294.1	rna11012
100689191	Lpl	NW_003613760.1	XM_003499928.3	XP_003499976.1	rna10146
100689192	Fdft1	NW_003613673.1	XM_016968526.1	XP_016824015.1	rna6081
100689192	Fdft1	NW_003613673.1	XM_003497977.3	XP_003498025.1	rna6082
100689193	Pde1b	NW_003614933.1	XM_003510684.3	XP_003510732.1	rna31649
100689195	Sars	NW_003617654.1	XM_003515261.3	XP_003515309.1	rna39917
100689196	Xpa	NW_003613773.1	XM_007640824.2	XP_007639014.1	rna10478
100689196	Xpa	NW_003613773.1	XR_001726221.1	-	rna10480
100689196	Xpa	NW_003613773.1	XM_003500090.3	XP_003500138.1	rna10479
100689196	Xpa	NW_003613773.1	XR_482015.2	-	rna10483
100689196	Xpa	NW_003613773.1	XM_007640826.2	XP_007639016.1	rna10484
100689196	Xpa	NW_003613773.1	XR_482017.2	-	rna10482
100689196	Xpa	NW_003613773.1	XR_001726222.1	-	rna10481
100689197	Brca2	NW_003614084.1	XM_016976784.1	XP_016832273.1	rna19612
100689197	Brca2	NW_003614084.1	XM_016976786.1	XP_016832275.1	rna19611
100689197	Brca2	NW_003614084.1	XM_016976783.1	XP_016832272.1	rna19610
100689197	Brca2	NW_003614084.1	XM_007645247.2	XP_007643437.1	rna19609
100689197	Brca2	NW_003614084.1	XM_016976785.1	XP_016832274.1	rna19608
100689197	Brca2	NW_003614084.1	XM_016976788.1	XP_016832277.1	rna19614
100689197	Brca2	NW_003614084.1	XM_016976787.1	XP_016832276.1	rna19613
100689198	S1pr1	NW_003616186.1	XM_007654114.2	XP_007652304.1	rna37507
100689199	Acox1	NW_003614300.1	XM_016977784.1	XP_016833273.1	rna23913
100689199	Acox1	NW_003614300.1	XM_007647366.1	XP_007645556.1	rna23914
100689201	Ddrgk1	NW_003613715.1	XM_003499033.3	XP_003499081.1	rna8324
100689202	Gls	NW_003615178.1	XM_016980260.1	XP_016835749.1	rna33445
100689203	Psmc3	NW_003613646.1	XM_003497321.3	XP_003497369.1	rna4733
100689203	Psmc3	NW_003613646.1	XM_007610391.2	XP_007608581.1	rna4732
100689204	Cdh2	NW_003614348.1	XM_016978029.1	XP_016833518.1	rna24850
100689205	Srrt	NW_003616206.1	NM_001246719.1	NP_001233648.1	rna37547
100689206	Trpc1	NW_003613594.1	XM_003495489.3	XP_003495537.1	rna1194
100689206	Trpc1	NW_003613594.1	XM_007641616.2	XP_007639806.1	rna1197
100689206	Trpc1	NW_003613594.1	XM_003495490.3	XP_003495538.1	rna1195
100689206	Trpc1	NW_003613594.1	XM_007641611.2	XP_007639801.1	rna1196
100689206	Trpc1	NW_003613594.1	XM_016974922.1	XP_016830411.1	rna1198
100689207	Fasn	NW_003613637.1	XM_003496909.3	XP_003496957.2	rna3957
100689208	Abcc1	NW_003613911.1	XM_007643354.2	XP_007641544.1	rna15607
100689209	Trpc3	NW_003614868.1	XM_007650992.2	XP_007649182.1	rna31031
100689209	Trpc3	NW_003614868.1	XM_003510366.3	XP_003510414.1	rna31029
100689209	Trpc3	NW_003614868.1	XM_007650991.2	XP_007649181.1	rna31030
100689210	Gnpda1	NW_003613896.1	XM_007643051.2	XP_007641241.2	rna15033
100689217	St8sia4	NW_003614294.1	NM_001244250.1	NP_001231179.1	rna23830
100689218	Trpc2	NW_003614758.1	XM_016979363.1	XP_016834852.1	rna29765
100689219	Klc1	NW_003613702.1	XM_007632830.2	XP_007631020.1	rna7759
100689219	Klc1	NW_003613702.1	XM_007632820.2	XP_007631010.1	rna7758
100689219	Klc1	NW_003613702.1	XM_007632836.1	XP_007631026.1	rna7757
100689219	Klc1	NW_003613702.1	XM_016972413.1	XP_016827902.1	rna7754
100689219	Klc1	NW_003613702.1	XM_007632824.1	XP_007631014.1	rna7756
100689219	Klc1	NW_003613702.1	XM_007632791.1	XP_007630981.1	rna7755
100689219	Klc1	NW_003613702.1	XM_003498786.2	XP_003498834.1	rna7761
100689219	Klc1	NW_003613702.1	XM_003498785.2	XP_003498833.1	rna7760
100689219	Klc1	NW_003613702.1	XM_016972411.1	XP_016827900.1	rna7753
100689219	Klc1	NW_003613702.1	XM_016972412.1	XP_016827901.1	rna7752
100689219	Klc1	NW_003613702.1	XM_007632785.1	XP_007630975.1	rna7745
100689219	Klc1	NW_003613702.1	XM_016972408.1	XP_016827897.1	rna7751
100689219	Klc1	NW_003613702.1	XM_016972428.1	XP_016827917.1	rna7750
100689219	Klc1	NW_003613702.1	XM_007632796.1	XP_007630986.1	rna7749
100689219	Klc1	NW_003613702.1	XM_007632807.1	XP_007630997.1	rna7748
100689219	Klc1	NW_003613702.1	XM_003498784.1	XP_003498832.1	rna7747
100689219	Klc1	NW_003613702.1	XM_007632812.1	XP_007631002.1	rna7746
100689219	Klc1	NW_003613702.1	XM_007632803.1	XP_007630993.1	rna7744
100689219	Klc1	NW_003613702.1	XM_007632769.1	XP_007630959.1	rna7743
100689220	Abcc2	NW_003615438.1	XM_003512384.3	XP_003512432.1	rna34895
100689222	App	NW_003614089.1	XM_007645315.2	XP_007643505.1	rna19739
100689224	Eif6	NW_003613833.1	XM_003501136.3	XP_003501184.1	rna12500
100689230	Dnajc10	NW_003613789.1	XM_003500418.3	XP_003500466.1	rna11082
100689232	Cad	NW_003613640.1	XM_003497046.3	XP_003497094.1	rna4235
100689232	Cad	NW_003613640.1	XM_007655251.2	XP_007653441.1	rna4234
100689233	Csr1	NW_003613777.1	NM_001246734.1	NP_001233663.1	rna10569
100689237	Birc6	NW_003613900.1	XM_016975636.1	XP_016831125.1	rna15156
100689238	Aimp1	NW_003618735.1	XM_007607757.1	XP_007605947.1	rna40490
100689238	Aimp1	NW_003620469.1	NM_001244267.1	NP_001231196.1	rna40830
100689239	Dicer1	NW_003614541.1	XM_016978691.1	XP_016834180.1	rna27225
100689239	Dicer1	NW_003614541.1	NM_001244269.1	NP_001231198.1	rna27224
100689239	Dicer1	NW_003614541.1	XM_007649053.1	XP_007647243.1	rna27223
100689240	Glg1	NW_003614751.1	NM_001244273.1	NP_001231202.1	rna29653
100689241	Por	NW_003613822.1	XM_007641668.1	XP_007639858.1	rna12154
100689242	Atp7a	NW_003614139.1	XM_003505299.3	XP_003505347.1	rna20815
100689242	Atp7a	NW_003614139.1	XM_016977069.1	XP_016832558.1	rna20816
100689242	Atp7a	NW_003614139.1	XM_007645821.1	XP_007644011.1	rna20814
100689243	Cdc6	NW_003614892.1	XM_016979700.1	XP_016835189.1	rna31294
100689243	Cdc6	NW_003614892.1	XM_007651110.2	XP_007649300.1	rna31295
100689243	Cdc6	NW_003614892.1	XM_007651111.2	XP_007649301.1	rna31296
100689243	Cdc6	NW_003614892.1	NM_001244278.1	NP_001231207.1	rna31297
100689245	Pparg	NW_003614354.1	NM_001244281.1	NP_001231210.1	rna24896
100689245	Pparg	NW_003614354.1	XM_007647868.2	XP_007646058.1	rna24897
100689246	Bsg	NW_003613904.1	XM_007643240.2	XP_007641430.1	rna15283
100689247	Cnbp	NW_003613981.1	XM_007644164.2	XP_007642354.1	rna17305
