Mouse gene name	Gene name
Ppp1r15a	PPP1R15A
Bbs1	AP002748.4
Timp3	TIMP3
Irgm1	IRGM
Igtp	IRGM
Irgm2	IRGM
Polrmt	POLRMT
Fbxo30	FBXO30
Ube2l3	UBE2L3
Rimbp3	RIMBP3C
Epb41l1	EPB41L1
Gnptg	GNPTG
Asns	ASNS
Zbtb40	ZBTB40
Hcn2	HCN2
Trpv4	TRPV4
Fgf21	FGF21
Fut1	FUT1
Ptpn21	PTPN21
Rsbn1	RSBN1
Slc37a4	SLC37A4
Dpp8	DPP8
Mb21d1	CGAS
Map10	MAP10
Smarce1	SMARCE1
Krt222	AC073508.2
Olfr453	OR2F2
Olfr452	OR2F2
Olfr38	OR2F2
Rrp8	RRP8
Ift22	IFT22
Galc	GALC
Fam102a	FAM102A
Surf6	SURF6
Bicd2	BICD2
Csnk1g2	CSNK1G2
Tlx1	TLX1
Gh	CSHL1
Rapgefl1	RAPGEFL1
Gstm5	GSTM3
Ppil1	PPIL1
Dcaf6	DCAF6
Trdv2-1	TRAV38-2DV8
Trdv2-2	TRAV38-2DV8
Cbln3	CBLN3
Phtf1	PHTF1
Aldh3a1	ALDH3A1
Pip4k2b	PIP4K2B
H2-Aa	HLA-DQA1
Wdr81	WDR81
Kctd15	KCTD15
Fundc2	FUNDC2
St3gal6	ST3GAL6
Cdc34b	CDC34
Cdc34	CDC34
Atp2c2	ATP2C2
Atp2b3	ATP2B3
Hist1h4n	HIST2H4B
Rims3	RIMS3
Trim41	TRIM41
Rab30	RAB30
Slc39a14	SLC39A14
Sod3	SOD3
Paqr5	PAQR5
Stx7	STX7
Crabp2	CRABP2
Olfr362	OR1B1
Nol3	NOL3
Ccdc65	CCDC65
Arf3	ARF3
Fam217a	FAM217A
Olfr745	OR11H6
Ap2b1	AP2B1
Tns2	TNS2
Ptpn9	PTPN9
Olfr1093	OR5T1
Mapk8	MAPK8
Chst15	CHST15
Crisp2	CRISP2
Defb28	DEFB115
AC163623.1	AC008481.3
Mvk	MVK
Slain1	SLAIN1
D10Jhu81e	FP565260.6
Shisa9	SHISA9
Rab39b	RAB39B
BC028528	C1orf54
Olfr1101	OR5T2
Olfr1086	OR5T2
Olfr141	OR5T2
Olfr1095	OR5T2
Gm648	CT45A3
Gm10477	CT45A3
Zfp653	ZNF653
Gm23166	RNU6-243P
Gm28006	NEAT1_1
Gm24674	RNU6-281P
Snord83b	SNORD83B
Gm23500	RNU6-1319P
Gm24724	RNU6-1319P
Gm23408	RN7SKP127
Gm26493	SNORA46
Snord67	SNORD67
Gm26418	SNORA10B
Gm24836	RNU6-324P
Gm23117	RNU6-1240P
Gm24958	SNORD125
Gm27308	WT1-AS_3
Gm23392	RNA5SP423
Gm22342	RN7SKP100
Gm22587	RN7SKP100
Gm26131	RNU6-308P
Gm26335	RNU6-724P
n-R5s77	RNA5SP322
Snora5c	SNORA5C
Gm23946	SNORA74C-1
Gm25560	RNU2-46P
Gm24402	RNU2-46P
Gm22108	RNU6-1144P
Gm24798	RNU6-1144P
Gm25277	RN7SKP252
Gm23503	RNU6-1336P
Gm22943	RNU6-894P
Gm25964	RNU6-152P
Gm25721	RNU1-45P
Gm24151	SNORA67
Gm26438	Y_RNA
Gm22199	Y_RNA
Gm24242	RNU6-268P
Gm23377	SNORA43
Gm22504	SNORA43
Gm22156	ACA64
Snora78	ACA64
Gm27801	Six3os1_2
Gm24842	RNU6-1333P
Gm27853	RN7SL372P
Gm24674	RNU6-1325P
Gm25989	SNORA84
Gm25394	SNORA84
Gm23513	SNORA84
Gm25522	RNU6-237P
Snora23	SNORA23
Gm22787	RNU6-299P
Gm27868	HOTAIRM1_4
Gm24763	RNU2-56P
Gm24521	RNU6-1084P
Gm24508	RNU6-761P
Gm27271	SMAD5-AS1_4
Gm23055	RNU6-1306P
Gm25643	RNU6-189P
Gm25360	U2
Gm25939	U2
Gm23472	U2
Mir1839	SCARNA15
Gm23407	RNU6-1184P
Gm25974	RNA5SP306
Gm23500	RNU6-447P
Gm24724	RNU6-447P
Gm26157	5S_rRNA
Gm23500	RNU6-705P
Gm24724	RNU6-705P
Gm23500	RNU6-1118P
Gm24724	RNU6-1118P
Gm25883	RN7SKP164
Gm22942	SNORA70
Rnu12	RNU12
n-R5s103	RNA5S5
n-R5s107	RNA5S5
n-R5s110	RNA5S5
Gm23284	RNA5S5
n-R5s139	RNA5S5
n-R5s138	RNA5S5
n-R5s123	RNA5S5
Gm25212	RNA5S5
n-R5s104	RNA5S5
n-R5s113	RNA5S5
n-R5s143	RNA5S5
Rn5s	RNA5S5
Gm23104	RNU6-689P
Gm22302	RNU6-843P
Snord42b	SNORD42B
Gm26480	RN7SKP20
Gm23125	RNU6-1176P
Gm25488	RNA5SP361
Gm25669	RNA5SP361
Gm26236	SNORA8
Gm25362	RNU6-723P
n-R5s144	RNA5S15
Gm23120	RN7SKP288
Gm26098	RN7SKP288
n-R5s216	RNA5SP125
Snora62	SNORA62
Gm24765	RNU6-466P
Gm24705	RNU6-28P
Gm24184	Y_RNA
Gm25654	RNU6-616P
Rny3	RNY3
Gm25360	U2
Gm25939	U2
Gm23472	U2
Snord111	SNORD111
Gm25403	VTRNA2-2P
Vaultrc5	VTRNA2-2P
Rpph1	RPPH1
Gm25627	RNU1-64P
Gm23470	RNU1-64P
Gm25393	RN7SKP68
Gm27867	HOTAIRM1_1
Gm23940	RNU6-1155P
Gm25815	RNU6-259P
Gm25054	RNU6-918P
Gm25423	RNU6-918P
Gm24477	RNU6-918P
n-R5s82	RNA5SP41
Gm22959	RN7SKP6
Gm27365	ST7-OT4_2
Gm27585	DAOA-AS1_1
Gm27366	RMST_4
Gm24664	RNA5SP342
Gm25859	SNORA32
Gm27619	SNORA32
Gm23404	SNORA32
Gm25403	Vault
Vaultrc5	Vault
Gm23336	U6atac
Gm22490	SNORA40
Gm24877	Y_RNA
Gm25061	RNU6-636P
Gm25854	SNORD114-21
Gm23212	SNORD44
Gm23209	RNU6-807P
Snord98	SNORD98
Gm22005	RNU4-16P
Gm22951	RNU6-42P
Gm23186	RNU6-42P
Gm22290	RNU6-1246P
Gm25404	RNU6-1246P
Gm25390	RNU6-239P
Gm25579	RNU6-1039P
Gm22739	RNU1-101P
Gm24391	RNU6-646P
Gm22478	SNORA67
Gm27893	Vax2os1_3
Gm22156	ACA64
Snora78	ACA64
Gm22867	RNU6-1281P
Gm25217	RNU6-1281P
Gm26439	RNU6-1281P
Gm22207	RN7SKP276
Gm24116	RNU6-742P
Gm27972	DLEU2_6
Gm26062	RNU6-1003P
Gm24003	RNU6-1003P
Gm23138	RNU6-1003P
Gm25253	RNU6-921P
Gm25792	RNU6-62P
Gm26257	RNU6-1015P
Gm25513	RNU1-146P
Gm24977	RNU1-146P
Gm27699	DLX6-AS1_1
Gm25538	RNU6-1099P
n-R5s108	RNA5S3
Gm25792	RNU6-864P
Gm22077	SNORD83A
Gm23095	RNU6-317P
n-R5s24	RNA5SP233
Gm25483	RNU105B
Gm25804	RNU105B
Gm27952	RNA5SP390
Snord14a	SNORD14
Gm24741	RNA5SP400
Gm22192	SNORD62A
Gm26501	RNU6-280P
Snord60	SNORD60
Gm27853	RN7SL329P
n-R5s209	RNA5SP183
Gm25660	RNA5SP332
Gm26138	RNU6-31P
Gm23781	RN7SKP298
Gm26355	RNU6-834P
n-R5s218	RNA5SP164
n-R5s8	RNA5SP331
Gm27588	RMST_7
Gm27608	RMST_8
Gm22983	RNU6-693P
Gm22157	RNU6-693P
Gm22016	Y_RNA
Gm24203	Y_RNA
Gm25586	Y_RNA
Gm25223	Y_RNA
Gm24045	Y_RNA
Gm26456	Y_RNA
Gm23921	Y_RNA
n-R5s158	RNA5SP179
Gm26329	Y_RNA
Gm25464	RNU6-997P
Snord53	SNORD53
Gm25600	RNU6-183P
Gm27401	uc_338
Gm25457	RNU6-468P
Gm22492	RN7SKP260
Gm24453	SNORD28
Gm24292	RNU6-544P
Gm23585	RNU6-544P
Gm27755	ST7-AS1_1
Gm23543	RNU6-909P
Nemf	NEMF
Klhdc2	KLHDC2
Slc35a4	SLC35A4
Sra1	APBB3
Ncstn	NCSTN
Gm21992	RBM4
Rbm4	RBM4
Arhgdia	ARHGDIA
Tjp2	TJP2
Pex19	PEX19
Rtn1	RTN1
Dlx3	DLX3
Pcdh1	PCDH1
Tspan14	TSPAN14
Papln	PAPLN
Tab2	TAB2
Slc43a1	SLC43A1
Vash1	VASH1
Inpp4a	INPP4A
Slc9a5	SLC9A5
Cacng7	CACNG7
Crybg1	CRYBG1
Dctn5	DCTN5
Man2b1	AC010422.5
Bend5	BEND5
Sfxn4	SFXN4
Crhr1	LINC02210-CRHR1
Uggt2	UGGT2
Sppl2c	SPPL2C
Kdm4d	KDM4D
Cd79a	CD79A
Atg2b	ATG2B
Idh3g	IDH3G
Ssr4	SSR4
Dmrtc1a	DMRTC1
Dmrtc1b	DMRTC1
B3gat2	B3GAT2
Arap3	ARAP3
Alg9	ALG9
Sybu	SYBU
Atp5c1	ATP5C1
Daw1	DAW1
Sidt2	SIDT2
Elane	ELANE
Hps6	HPS6
Gm18336	PNMA6F
Gm45015	PNMA6F
Ap3m1	AP3M1
Dhcr7	DHCR7
Clip2	CLIP2
Gpr137b	GPR137B
Zfp235	ZNF235
Pnma5	PNMA5
Fez1	FEZ1
Pxmp2	PXMP2
Ipo9	IPO9
Rfc2	RFC2
Nsdhl	NSDHL
Pnpla7	PNPLA7
Pcdhgb1	PCDHGB1
Dio3	DIO3
Ube2g1	UBE2G1
Tcea3	TCEA3
Phb	PHB
Pcdh8	PCDH8
Gm25395	SCARNA5
Gm26181	RNU6-250P
Gm26253	RNU6-250P
Gm23182	U8
Gm25369	U8
Gm26027	RN7SKP111
Gm23385	RN7SKP111
Snora68	SNORA68
Gm24060	RNU6-638P
Gm28016	PART1_1
Rn7s1	RN7SL1
Gm24148	SNORD20
Snora7a	SNORA7B
Gm27991	SNORA7B
Gm27607	SNORA7B
Gm27483	H19_1
Gm24042	RNU6-23P
Gm25930	RNU6-23P
Gm23805	RNU6-23P
Gm26127	RNU6-23P
Gm27853	RN7SL51P
Gm23095	RNU6-10P
Gm22054	RNU1-151P
Gm24565	RNU6-25P
Gm23752	RNA5SP200
Gm24384	RNU6-1153P
Gm24336	SNORA12
Gm27444	ST7-OT3_2
Gm26329	Y_RNA
Gm22485	RNU6-197P
Gm25854	SNORD114-26
Gm25108	SNORD88
Gm23993	SNORA48B
Gm24475	SNORA48B
Gm25569	SNORA48B
Gm24262	SNORA48B
Gm25113	SNORA48B
Gm24879	SNORA48B
Gm24288	SNORA48B
Gm22315	SNORA48B
Gm23278	SNORA48B
Gm24963	SNORA48B
Gm22988	SNORA48B
Gm23343	SNORA48B
Gm24782	SNORA48B
Gm25117	SNORA48B
Gm23168	SNORA48B
Gm25771	SNORA48B
Gm22554	SNORA48B
Gm24727	SNORA48B
Gm23598	SNORA48B
Gm23546	SNORA48B
Gm22890	SNORA48B
Gm25291	SNORA48B
Gm23716	SNORA48B
Gm26036	SNORA48B
Gm22210	SNORA48B
Gm23123	SNORA48B
Gm25383	SNORA48B
Gm24780	SNORA48B
Gm24130	SNORA48B
Gm23339	SNORA48B
Tceal9	TCEAL9
Gm27533	NEAT1_3
Gm25049	U6
Gm27853	RN7SL187P
Gm26442	RNU1-38P
Gm22843	SNORA25
Gm22478	SNORA67
Gm22259	RNU6-1285P
Gm26028	RN7SKP99
Gm22275	RN7SKP63
Gm23853	RNU6-751P
Gm26103	RNU6-751P
Gm23624	RN7SKP237
Gm24734	RN7SKP237
Gm23547	SCARNA12
Gm25082	RN7SKP70
Gm26330	SNORD46
n-R5s26	RNA5SP26
Gm22362	SNORA70
Gm27942	RNU6-1025P
Gm24184	Y_RNA
Gm27853	RN7SL794P
Snord23	SNORD23
Gm24476	RNA5SP80
Mir677	SNORD59
Gm23113	RNU6-643P
Gm25969	SNORA31
Gm23500	RNU6-1254P
Gm24724	RNU6-1254P
Gm22373	SNORD116-17
Gm25457	RNU6-463P
Gm23125	RNU6-1313P
Gm27627	MIAT_exon5_1
Gm22728	SCARNA22
Gm22016	Y_RNA
Gm24203	Y_RNA
Gm25586	Y_RNA
Gm25223	Y_RNA
Gm24045	Y_RNA
Gm26456	Y_RNA
Gm23921	Y_RNA
Gm23202	SNORA27
Gm25360	U2
Gm25939	U2
Gm23472	U2
Gm22205	SNORD114-9
n-R5s16	RNA5SP205
Gm22373	SNORD116-23
Gm26271	RNU6-959P
Gm25619	RNU6-959P
Gm22373	SNORD116-20
Gm26461	Metazoa_SRP
Gm24812	Metazoa_SRP
Gm25505	RN7SKP240
Gm23794	RNU6-185P
Gm23940	RNU6-621P
Gm27342	RNU6-867P
Gm27715	WT1-AS_8
n-R5s8	RNA5SP292
Snord100	SNORD100
Gm27927	Xist_exon4
Gm25721	RNU1-104P
Gm23500	RNU6-791P
Gm24724	RNU6-791P
Gm23182	U8
Gm25369	U8
Scarna17	SCARNA18
Gm25443	SCARNA18
Gm23247	RNU6-24P
Gm25664	RNU6-1188P
Snord35a	SNORD35A
n-R5s136	RNA5S9
Gm27804	SPRY4-IT1_2
Gm23538	RNU6-229P
Gm24616	SNORA4
Gm24664	RNA5SP504
Gm25792	RNU6-122P
Gm27283	Six3os1_4
Gm22451	RNU2-33P
Gm22714	CPEB3_ribozyme
Gm24634	SNORA52
Gm25155	SNORD116-9
Gm25474	SNORD116-9
Gm25471	SNORD116-9
Gm25350	SNORD116-9
Gm25944	SNORD116-9
Gm25597	SNORD116-9
Gm22941	SNORD116-9
Snord116l16	SNORD116-9
Gm23862	SNORD116-9
Snord116l10	SNORD116-9
Gm23767	SNORD116-9
Gm26201	SNORD116-9
Snord116l17	SNORD116-9
Gm24760	SNORD116-9
Gm22285	SNORD116-9
Gm25157	SNORD116-9
Gm26270	SNORD116-9
Snord116l3	SNORD116-9
Gm23446	SNORD116-9
Snord116l9	SNORD116-9
Gm26433	SNORD116-9
Gm24518	SNORD116-9
Gm26032	SNORD116-9
Snord116l14	SNORD116-9
Gm22258	SNORD116-9
Gm26097	SNORD116-9
Gm22631	SNORD116-9
Gm24609	SNORD116-9
Gm22417	SNORD116-9
Gm24264	SNORD116-9
Gm26504	SNORD116-9
Snord116l8	SNORD116-9
Gm22776	SNORD116-9
Gm22851	SNORD116-9
Gm23619	SNORD116-9
Snord116l7	SNORD116-9
Gm26365	SNORD116-9
Gm24711	SNORD116-9
Snord116l5	SNORD116-9
Gm23313	SNORD116-9
Gm23953	SNORD116-9
Gm23047	SNORD116-9
Gm26332	SNORD116-9
Gm26188	SNORD116-9
Snord116l2	SNORD116-9
Snord116l1	SNORD116-9
Gm22128	SNORD116-9
Gm23089	SNORD116-9
Snord116l11	SNORD116-9
Gm22046	SNORD116-9
Gm22812	SNORD116-9
Gm22131	SNORD116-9
Gm25816	SNORD116-9
Snord116l6	SNORD116-9
Gm26246	SNORD116-9
Gm26502	SNORD116-9
Snord116l15	SNORD116-9
Gm25074	SNORD116-9
Gm23265	SNORD116-9
Gm22047	SNORD116-9
Gm23141	SNORD116-9
Gm22584	SNORD116-9
Snord116l4	SNORD116-9
Gm25615	SNORD116-9
Gm24153	SNORD116-9
Snord116l12	SNORD116-9
Gm24618	SNORD116-9
Gm25210	SNORD116-9
Gm22863	SNORD116-9
Snord116l13	SNORD116-9
Snora43	SNORA17B
Gm24877	RNY1P2
Snora68	SNORA68
Gm23500	RNU6-1076P
Gm24724	RNU6-1076P
Gm22156	ACA64
Snora78	ACA64
Gm25403	Vault
Vaultrc5	Vault
Gm22601	RN7SKP36
Gm23533	RN7SKP36
Gm23209	RNU6-386P
Gm26049	RNU6-655P
Gm25598	RNU6-655P
Gm26403	RNU6-98P
Gm22077	snoU83B
Gm25348	RNA5SP425
Gm23279	RNA5SP425
Gm23723	SNORA41B
Snora41	SNORA41B
Gm25367	RNU6-1205P
Gm25107	SNORA35B
Vbp1	VBP1
Casp1	CASP1
Cox16	COX16
Itga9	ITGA9
Masp1	MASP1
Inppl1	INPPL1
Mgat4c	MGAT4C
Arl1	ARL1
Pdc	PDC
Cfi	CFI
Syndig1l	SYNDIG1L
Prpf8	PRPF8
Nhlrc4	NHLRC4
Map3k3	MAP3K3
Amdhd2	AMDHD2
Polr3d	POLR3D
Pxdc1	PXDC1
Rnf103	RNF103
Cfap161	CFAP161
Hnrnpl	AC008982.1
Rmnd5a	RMND5A
Mast4	MAST4
Ddhd1	DDHD1
Gcc1	GCC1
Rtl6	RTL6
Scrn2	SCRN2
Pde4b	PDE4B
Oxt	OXT
Tlnrd1	TLNRD1
Lin9	LIN9
Aldh3b1	ALDH3B1
Tex10	TEX10
Shb	SHB
Faah	FAAH
Spock3	SPOCK3
Cdk17	CDK17
Slc1a4	SLC1A4
Tsnax	TSNAX
Pold3	POLD3
Vtcn1	VTCN1
Tcerg1l	TCERG1L
Bach2	BACH2
Pla1a	PLA1A
Tbc1d1	TBC1D1
Rcl1	RCL1
Rspo3	RSPO3
Slit2	SLIT2
Tmem236	TMEM236
Prg4	PRG4
Klk13	KLK13
Ppp1r7	PPP1R7
6430571L13Rik	C3orf18
Lefty2	LEFTY1
Lefty1	LEFTY1
Prpf39	PRPF39
Slc35d2	SLC35D2
Canx	CANX
Mbtps1	MBTPS1
Camsap2	CAMSAP2
Cemip	CEMIP
Chek2	CHEK2
Zcchc11	ZCCHC11
Fahd2a	FAHD2A
Mprip	MPRIP
Slirp	SLIRP
Nuggc	NUGGC
Faap24	FAAP24
Scaf8	SCAF8
Cox11	COX11
Krt2	KRT2
Pin1rt1	PIN1
Pin1	PIN1
Naaa	NAAA
Jhy	JHY
Dcun1d5	DCUN1D5
Plin3	PLIN3
Cxadr	CXADR
Gm1123	CXADR
Kir3dl2	KIR3DX1
Kir3dl1	KIR3DX1
Gnat2	GNAT2
C2cd3	C2CD3
Gp5	GP5
Zfp354c	ZNF354C
Lcn12	LCN12
Lime1	AL121845.2
Tpsb2	TPSB2
Iqcc	IQCC
Slc1a1	SLC1A1
Klhl4	KLHL4
Npas3	NPAS3
Inpp5k	INPP5K
Actr3	ACTR3
Lynx1	LYNX1
Xpo6	XPO6
Mtr	MTR
Plekhm2	PLEKHM2
Lbr	LBR
Zfp451	ZNF451
Lta4h	LTA4H
Patl1	PATL1
Yars	YARS
Tcf3	TCF3
Phyh	PHYH
Myo1g	MYO1G
Mmp10	MMP10
Cdh9	CDH9
Emilin3	EMILIN3
Ly6k	LY6K
Galnt12	GALNT12
Olfr76	OR5A1
Slc35e4	SLC35E4
Hist1h1a	HIST1H1A
Actn2	ACTN2
Atp6v1g2	ATP6V1G2
Klf14	KLF14
Anxa8	ANXA8
Ormdl3	ORMDL3
Fthl17b	FTHL17
Fthl17d	FTHL17
Fthl17f	FTHL17
Fthl17a	FTHL17
Fthl17c	FTHL17
Fthl17e	FTHL17
Apbb1	APBB1
Anks6	ANKS6
Tmem181a	TMEM181
Slc26a3	SLC26A3
Crebrf	CREBRF
Itgb3	AC068234.1
Krt5	KRT5
Prr19	PRR19
Ssx9	SSX3
Ssxb9	SSX3
Ssxb10	SSX3
Ssxb2	SSX3
Gm5751	SSX3
Ssxb1	SSX3
Ssxb5	SSX3
Gm6592	SSX3
Gm21876	SSX3
Ssxa1	SSX3
Gm14459	SSX3
Ssxb8	SSX3
Ssxb3	SSX3
Ssxb6	SSX3
Cox8a	AP000721.1
Cox8a	COX8A
Zfp661	ZNF2
Atp1a1	ATP1A1
Nup98	NUP98
Chad	CHAD
Tcp11l1	TCP11L1
Mill2	MICA
Mill1	MICA
Sgk3	SGK3
Crlf1	CRLF1
Ankrd66	ANKRD66
Naa11	NAA11
Gm16286	NAA11
Grk6	GRK6
Sptlc1	SPTLC1
Sirt1	SIRT1
Tmem114	TMEM114
Opa1	OPA1
Arl8a	ARL8A
Clrn2	CLRN2
Trpm1	TRPM1
Erf	ERF
Tmprss7	TMPRSS7
Hsdl2	HSDL2
Dmbt1	DMBT1
Aff2	AFF2
E130308A19Rik	KIAA1958
Col3a1	COL3A1
Nbl1	NBL1
Olfr142	OR4B1
Olfr1270	OR4B1
Olfr1271	OR4B1
Olfr1272	OR4B1
Olfr1273-ps	OR4B1
Olfr32	OR4B1
Gkn1	GKN1
Atf6	ATF6
Kcnj1	KCNJ1
Sept4	SEPT4
Smim23	SMIM23
Tmem30b	TMEM30B
Aamdc	AAMDC
Serpinb11	SERPINB11
Fgf18	FGF18
Tcf12	TCF12
Fscn1	FSCN1
Negr1	NEGR1
Trdmt1	TRDMT1
Ddx28	DDX28
Wdr72	WDR72
Yjefn3	YJEFN3
Hlx	HLX
Abhd10	ABHD10
Zfp266	ZNF562
Slc25a31	SLC25A31
Ppp1r14c	PPP1R14C
Adtrp	ADTRP
Dusp10	DUSP10
B3gat1	B3GAT1
Maz	MAZ
Sftpc	SFTPC
Ssx9	SSX1
Ssxb9	SSX1
Ssxb10	SSX1
Ssxb2	SSX1
Gm5751	SSX1
Ssxb1	SSX1
Ssxb5	SSX1
Gm6592	SSX1
Gm21876	SSX1
Ssxa1	SSX1
Gm14459	SSX1
Ssxb8	SSX1
Ssxb3	SSX1
Ssxb6	SSX1
Aire	AIRE
Pank2	PANK2
Gosr1	GOSR1
Phf14	PHF14
Ssx9	SSX5
Ssxb9	SSX5
Ssxb10	SSX5
Ssxb2	SSX5
Gm5751	SSX5
Ssxb1	SSX5
Ssxb5	SSX5
Gm6592	SSX5
Gm21876	SSX5
Ssxa1	SSX5
