mouseSymbol,choSymbol
Slc22a8,Slc22a8
Atp8b1,Atp8b1
A930003A15Rik,A930003A15Rik
Mamdc2,Mamdc2
Skor2,Skor2
Fam53c,Fam53c
Cdkn2b,Cdkn2b
Tmem200b,Tmem200b
Kcnk12,Kcnk12
1700028P14Rik,1700028P14Rik
Ier2,Ier2
Gm17324,Gm17324
Gm27321,RF02122
Pfpl,Pfpl
Chmp2b,Chmp2b
Mir1893,Mir1893
Cdc42ep3,Cdc42ep3
Kctd1,Kctd1
Atl3,Atl3
Apba1,Apba1
BC031181,BC031181
Vmac,Vmac
Cd5,Cd5
Dppa4,Dppa4
Gm44,Gm44
Tbx1,Tbx1
Zbtb21,Zbtb21
Lox,Lox
Nhlrc2,Nhlrc2
Polh,Polh
Tsga10ip,Tsga10ip
Fam189a2,Fam189a2
Tmc1,Tmc1
Jakmip2,Jakmip2
Map4k3,Map4k3
Lrrn4cl,Lrrn4cl
Gm26620,Gm26620
Snord42a,RF00150
Gm10300,Gm10300
Gm26741,Gm26741
Gm9817,Gm9817
4930535I16Rik,4930535I16Rik
Cplx4,Cplx4
Cpn2,Cpn2
Nrtn,Nrtn
Gm27511,RF02177
Pmaip1,Pmaip1
Pgam1,Pgam1
A530084C06Rik,A530084C06Rik
Tmem138,Tmem138
Tmem252,Tmem252
Foxb2,Foxb2
Mpeg1,Mpeg1
Mettl4,Mettl4
Mc2r,Mc2r
Adra2a,Adra2a
1810049J17Rik,1810049J17Rik
Gm5225,Prdx2
Htr4,Htr4
Minpp1,Minpp1
Fads1,Fads1
Abhd17b,Abhd17b
Foxd4,Foxd4
Sft2d3,Sft2d3
Arhgap29,Arhgap29
Ms4a1,Ms4a1
Tmem64,Tmem64
Olfr959,Olfr959
Hsd17b13,Hsd17b13
Ap1ar,Ap1ar
Dtwd2,Dtwd2
Poln,Poln
Tifa,Tifa
Plekhg5,Plekhg5
Slc1a5,Slc1a5
Apod,Apod
Papolg,Papolg
Lin7c,Lin7c
Dhx34,Dhx34
Gm4881,Gm4881
Rabac1,Rabac1
Caap1,Caap1
Satb2,Satb2
Diaph3,Diaph3
Bicc1,Bicc1
Epha7,Epha7
Hells,Hells
Basp1,Basp1
Nrsn1,Nrsn1
Yeats4,Yeats4
Ppp1r12a,Ppp1r12a
Ckmt2,Ckmt2
Maf,Maf
Polr3e,Polr3e
Akap7,Akap7
Rab5b,Rab5b
Cts8,Cts8
Fam43b,Fam43b
Prrt1,Prrt1
Tbr1,Tbr1
Macf1,Macf1
Acsm5,Acsm5
Pelp1,Pelp1
Bbs9,Bbs9
Pak1,Pak1
Tppp2,Tppp2
Calb1,Calb1
Hist1h2bm,Hist1h2bm
Elavl2,Elavl2
Herc3,Herc3
Ccdc107,Ccdc107
Top1mt,Top1mt
Gsc2,Gsc2
Tmem259,Tmem259
Cfap221,Cfap221
Tubb5,Tubb5
Ccdc34,Ccdc34
Ttc29,Ttc29
Nkx2-1,Nkx2-1
Acad9,Acad9
Chrd,Chrd
Vdr,Vdr
Olfr90,Olfr90
Foxe1,Foxe1
Cnnm3,Cnnm3
Rps9,Rps9
Peg10,Peg10
Tead4,Tead4
Ccdc177,Ccdc177
Fkbpl,Fkbpl
Btg2,Btg2
Lamp1,Lamp1
Rbx1,Rbx1
Manba,Manba
Proser3,Proser3
Nkx3-2,Nkx3-2
Usp31,Usp31
Foxd1,Foxd1
Celsr1,Celsr1
Bod1l,Bod1l
Cdkn2aipnl,Cdkn2aipnl
St3gal1,St3gal1
Ppp1r18,Ppp1r18
Slain2,Slain2
Olfr557,Olfr557
Rbfox2,Rbfox2
Pkhd1,Pkhd1
Padi2,Padi2
Aimp2,Aimp2
Dach1,Dach1
Gm11492,Gm11492
Olfr558,Olfr558
Krtap29-1,Krtap29-1
Sqor,Sqor
Rwdd3,Rwdd3
Scnn1g,Scnn1g
Gabarap,Gabarap
Slc25a21,Slc25a21
Gm7324,Gm7324
Gm996,Gm996
Hdgfl1,Hdgfl1
Olfr94,Olfr94
Ncoa7,Ncoa7
Rrm1,Rrm1
Smarca2,Smarca2
Pawr,Pawr
Prl,Prl
Esyt2,Esyt2
Camk2n1,Camk2n1
Bcl11a,Bcl11a
Tdrd3,Tdrd3
Rps6ka3,Rps6ka3
Plekhs1,Plekhs1
Tmem171,Tmem171
Kcnd2,Kcnd2
Cyp2c55,Cyp2c55
1700025G04Rik,1700025G04Rik
Mrps2,Mrps2
Cilp2,Cilp2
Atp2b1,Atp2b1
Flvcr1,Flvcr1
Smad7,Smad7
Tssk6,Tssk6
Yjefn3,Yjefn3
Lelp1,Lelp1
Rhno1,Rhno1
Prr9,Prr9
Pou4f2,Pou4f2
Pkn2,Pkn2
Olfr33,Olfr33
Usp11,Usp11
Olfr559,Olfr559
Ap5m1,Ap5m1
Tex11,Tex11
Olfr965,Olfr965
Kif6,Kif6
Olfr560,Olfr560
Olfr78,Olfr78
Slc2a13,Slc2a13
Ibsp,Ibsp
Colq,Colq
Bcl2l15,Bcl2l15
Scube2,Scube2
Aff1,Aff1
Cpeb2,Cpeb2
Rsph10b,Rsph10b
Abca4,Abca4
Alb,Alb
Vwa5b1,Vwa5b1
Slc6a19,Slc6a19
Purb,Purb
Rmdn2,Rmdn2
Olfr543,Olfr543
Cmpk2,Cmpk2
Oca2,Oca2
Gga2,Gga2
4930452B06Rik,4930452B06Rik
Olfr1419,Olfr1419
Snrpc,Snrpc
Olfr967,Olfr967
Fam81b,Fam81b
Epb41l2,Epb41l2
Pou3f1,Pou3f1
Ubxn10,Ubxn10
Olfr547,Olfr547
Olfr1423,Olfr1423
Alkbh5,Alkbh5
Pkd2,Pkd2
Ifi47,Ifi47
Olfr1277,Olfr1277
Afm,Afm
Mctp1,Mctp1
Hs2st1,Hs2st1
Trpm8,Trpm8
Olfr1284,Olfr1284
Cped1,Cped1
Olfr1288,Olfr1288
Dnajc30,Dnajc30
5730559C18Rik,5730559C18Rik
Olfr548-ps1,Olfr548-ps1
Olfr549,Olfr549
Iscu,Iscu
Fam172a,Fam172a
Inafm1,Inafm1
Adcy8,Adcy8
Ccdc9,Ccdc9
Pmfbp1,Pmfbp1
Mgmt,Mgmt
Wipf1,Wipf1
Hes5,Hes5
Nrp2,Nrp2
Arhgap15,Arhgap15
Apol8,Apol8
Ythdc2,Ythdc2
Selenof,Selenof
Rarb,Rarb
Sigmar1,Sigmar1
Plk4,Plk4
Rassf6,Rassf6
Tmem119,Tmem119
Abcg3,Abcg3
Olfr1451,Olfr1451
Gtdc1,Gtdc1
Slc7a3,Slc7a3
Crtc3,Crtc3
Cntn1,Cntn1
Poc1b,Poc1b
Olfr571,Olfr571
Pgrmc2,Pgrmc2
2010106E10Rik,2010106E10Rik
Gsc,Gsc
Plp1,Plp1
Olfr550,Olfr550
Olfr551,Olfr551
Olfr1352,Olfr1352
Olfr552,Olfr552
Olfr553,Olfr553
Atl2,Atl2
Olfr1428,Olfr1428
Alg14,Alg14
Wnk2,Wnk2
Ctf2,Ctf2
Grb14,Grb14
Spopl,Spopl
B3gat1,B3gat1
Fhit,Fhit
Cnot11,Cnot11
Epn1,Epn1
Olfr1309,Olfr1309
Olfr1310,Olfr1310
D3Ertd254e,D3Ertd254e
Lin28b,Lin28b
Defb48,Defb48
Qrfpr,Qrfpr
Acsm2,Acsm2
Mkln1,Mkln1
Zfp296,Zfp296
Naaladl2,Naaladl2
Vps8,Vps8
Arhgef16,Arhgef16
Crebbp,Crebbp
Fam118b,Fam118b
Nxnl2,Nxnl2
Rab9b,Rab9b
Cdr2,Cdr2
Fmc1,Fmc1
Sox11,Sox11
Slc19a3,Slc19a3
Tex44,Tex44
Btbd16,Btbd16
Ptma,Ptma
Sult2a2,Sult2a2
2210017I01Rik,2210017I01Rik
5430419D17Rik,5430419D17Rik
Spp2,Spp2
Cnn3,Cnn3
Cobll1,Cobll1
Insc,Insc
Lce6a,Lce6a
Apbb2,Apbb2
Olfr167,Olfr167
Olfr266,Olfr266
Gng10,Gng10
1700113H08Rik,1700113H08Rik
Eid2,Eid2
Cep85l,Cep85l
Otud1,Otud1
AU022252,AU022252
Col5a1,Col5a1
Ank,Ank
Pln,Pln
Tmem269,Tmem269
Olfr975,Olfr975
Prkar2b,Prkar2b
Luc7l2,Luc7l2
Eid2b,Eid2b
Pex14,Pex14
Selenov,Selenov
Stat4,Stat4
Sec24b,Sec24b
Fancc,Fancc
Fancl,Fancl
Diaph1,Diaph1
Naa30,Naa30
Stat1,Stat1
Vrk2,Vrk2
Ckm,Ckm
Magi3,Magi3
Cnot4,Cnot4
Ttc23l,Ttc23l
Olfr1141,Olfr1141
Araf,Araf
Sypl,Sypl
Ddn,Ddn
Slc12a7,Slc12a7
Cntnap2,Cntnap2
Henmt1,Henmt1
Teddm3,Teddm3
Ephb3,Ephb3
Tecpr1,Tecpr1
Ascl1,Ascl1
Olfr152,Olfr152
En1,En1
Olfr1145,Olfr1145
Cntn3,Cntn3
Hs6st2,Hs6st2
Olfr1152,Olfr1152
Tcerg1l,Tcerg1l
2010111I01Rik,2010111I01Rik
Syn1,Syn1
Olfr1156,Olfr1156
Olfr1157,Olfr1157
Olfr74,Olfr74
Krt75,Krt75
Sptbn4,Sptbn4
Prok1,Prok1
Bri3,Bri3
Espn,Espn
Ncs1,Ncs1
Fam241a,Fam241a
Fam83b,Fam83b
Tmem215,Tmem215
AI481877,AI481877
Cpxm2,Cpxm2
Cflar,Cflar
Rbbp8nl,Rbbp8nl
Gdnf,Gdnf
Olfr1164,Olfr1164
Tmem164,Tmem164
Olfr976,Olfr976
Dsc2,Dsc2
Capzb,Capzb
Olfr1438-ps1,Olfr1438-ps1
Oat,Oat
Olfr1176,Olfr1176
Olfr1440,Olfr1440
Ndufb8,Ndufb8
C2cd5,C2cd5
Ralyl,Ralyl
Olfr1441,Olfr1441
Gxylt1,Gxylt1
Nxn,Nxn
Tbc1d5,Tbc1d5
Ogfr,Ogfr
Prame,Prame
Prr30,Prr30
Sema3c,Sema3c
Slc16a4,Slc16a4
Tcfl5,Tcfl5
Tox,Tox
Dusp6,Dusp6
Slc38a11,Slc38a11
Epb41l4b,Epb41l4b
Catsperb,Catsperb
Fam83a,Fam83a
Tex13c2,Tex13c2
Bloc1s3,Bloc1s3
Ppp2r2d,Ppp2r2d
Atg16l1,Atg16l1
Gm4952,Gm4952
Tenm1,Tenm1
Ibtk,Ibtk
Nlgn1,Nlgn1
Lexm,Lexm
Tmco3,Tmco3
Ptprz1,Ptprz1
Dact3,Dact3
Ncapg2,Ncapg2
Gpr33,Gpr33
Yaf2,Yaf2
Hmx3,Hmx3
Olfr1189,Olfr1189
Nubpl,Nubpl
Gng8,Gng8
Daw1,Daw1
Glyat,Glyat
Cxadr,Cxadr
Col25a1,Col25a1
Sncaip,Sncaip
Fam71a,Fam71a
Chm,Chm
Trappc6a,Trappc6a
Klhl31,Klhl31
1110065P20Rik,1110065P20Rik
Ifit1,Ifit1
Tas2r137,Tas2r137
Hc,Hc
Ofcc1,Ofcc1
Gclm,Gclm
Arhgap5,Arhgap5
Prdm16,Prdm16
Klhl11,Klhl11
Derl3,Derl3
Rpsa,Rpsa
Ripk2,Ripk2
Dnttip2,Dnttip2
Crct1,Crct1
Bcar3,Bcar3
Jakmip3,Jakmip3
Ammecr1,Ammecr1
Cryba4,Cryba4
Plagl1,Plagl1
Trex2,Trex2
Nkpd1,Nkpd1
Agt,Agt
Col3a1,Col3a1
Cc2d2a,Cc2d2a
Ccdc186,Ccdc186
Ppp3ca,Ppp3ca
Gclc,Gclc
Krt1,Krt1
Phip,Phip
Htra1,Htra1
Ppp1r35,Ppp1r35
Ppp1r37,Ppp1r37
Sphkap,Sphkap
Bhlhe23,Bhlhe23
Mepce,Mepce
Nkx1-2,Nkx1-2
Abr,Abr
Snrpf,Snrpf
Nkd2,Nkd2
Morn2,Morn2
Arhgef33,Arhgef33
Pik3cg,Pik3cg
Satb1,Satb1
Borcs6,Borcs6
Ccdc160,Ccdc160
Hmcn2,Hmcn2
1700022I11Rik,1700022I11Rik
Sclt1,Sclt1
Aga,Aga
Pnmal2,Pnmal2
Uchl1,Uchl1
Capn9,Capn9
Wdr1,Wdr1
Klrg2,Klrg2
Olfr1211,Olfr1211
Pkdcc,Pkdcc
Dnaja2,Dnaja2
Stk32c,Stk32c
Olfr1212,Olfr1212
Car8,Car8
Olfr1215,Olfr1215
Ddah1,Ddah1
Tfap2a,Tfap2a
Sowahd,Sowahd
Akap6,Akap6
Apobec4,Apobec4
Krr1,Krr1
Pgpep1l,Pgpep1l
Olfr979,Olfr979
Pole4,Pole4
Keg1,Keg1
Tpbg,Tpbg
Podxl,Podxl
Pnmal1,Pnmal1
Pkd1l2,Pkd1l2
Map10,Map10
Olfr982,Olfr982
Gm362,Gm362
Dcaf12l2,Dcaf12l2
Foxa1,Foxa1
Clasrp,Clasrp
Olfr985,Olfr985
Nkx6-2,Nkx6-2
Ttc6,Ttc6
Inpp5a,Inpp5a
Fam174b,Fam174b
Atp13a5,Atp13a5
Enpep,Enpep
Olfr464,Olfr464
Dach2,Dach2
Dynll2,Dynll2
Ndufaf8,Ndufaf8
Mcm9,Mcm9
Olfr591,Olfr591
Olfr1234,Olfr1234
Olfr592,Olfr592
Zcwpw1,Zcwpw1
Arhgap12,Arhgap12
Eif4b,Eif4b
2410004B18Rik,2410004B18Rik
Hipk2,Hipk2
Olfr593,Olfr593
Ube2cbp,Ube2cbp
Olfr594,Olfr594
Asf1a,Asf1a
Pgrmc1,Pgrmc1
Pid1,Pid1
Ccnl1,Ccnl1
Ccdc8,Ccdc8
Sh3bp4,Sh3bp4
1700028J19Rik,1700028J19Rik
Ass1,Ass1
Coq9,Coq9
Ep300,Ep300
Gp1ba,Gp1ba
Ttc3,Ttc3
Por,Por
Gm6583,Gm6583
Tdrd1,Tdrd1
Olfr770,Olfr770
Olfr599,Olfr599
Dnah5,Dnah5
Olfr600,Olfr600
Phf10,Phf10
Nenf,Nenf
Secisbp2l,Secisbp2l
Agap1,Agap1
Bco1,Bco1
Tmtc1,Tmtc1
Flg2,Flg2
Ccdc71l,Ccdc71l
Chst4,Chst4
Olfr606,Olfr606
Wtip,Wtip
Snca,Snca
Syde2,Syde2
Lage3,Lage3
Chd6,Chd6
Il1f5,Il1f5
Scn4b,Scn4b
Tchh,Tchh
Arid4a,Arid4a
Crocc,Crocc
Mobp,Mobp
Egfl6,Egfl6
Ppp2ca,Ppp2ca
Olfr283,Olfr283
Slc7a12,Slc7a12
Mmp16,Mmp16
Ntan1,Ntan1
Ipo8,Ipo8
Tmigd1,Tmigd1
Rab2a,Rab2a
Slc28a1,Slc28a1
Tas2r138,Tas2r138
Akap1,Akap1
Olfr1499,Olfr1499
Triml2,Triml2
Zmynd12,Zmynd12
Rwdd1,Rwdd1
Ttyh1,Ttyh1
Olfr607,Olfr607
Grik2,Grik2
Ptprn,Ptprn
Galk2,Galk2
Mmrn1,Mmrn1
Sox4,Sox4
Olfr609,Olfr609
Skp1a,Skp1a
1700011I03Rik,1700011I03Rik
Ptpn3,Ptpn3
Olfr1247,Olfr1247
Vldlr,Vldlr
Egln3,Egln3
P2rx4,P2rx4
Gbx1,Gbx1
Cdk5r2,Cdk5r2
Pnpt1,Pnpt1
Col5a2,Col5a2
D3Ertd751e,D3Ertd751e
Hif1an,Hif1an
Srrm3,Srrm3
Fev,Fev
Ccser1,Ccser1
Pcgf5,Pcgf5
Pax2,Pax2
Zfp42,Zfp42
Vegfc,Vegfc
Hes7,Hes7
Pgm2l1,Pgm2l1
Kpna7,Kpna7
Tns2,Tns2
Mmp3,Mmp3
Kcnn4,Kcnn4
Hspb1,Hspb1
0610012G03Rik,0610012G03Rik
Chd7,Chd7
Kdm3b,Kdm3b
Kcnh8,Kcnh8
Adamts20,Adamts20
Twist1,Twist1
Nog,Nog
Ssc4d,Ssc4d
Spcs3,Spcs3
Ggps1,Ggps1
Rps7,Rps7
Ccdc137,Ccdc137
L3mbtl2,L3mbtl2
Bst1,Bst1
F13b,F13b
Fbxl5,Fbxl5
Pou2f2,Pou2f2
Olfr613,Olfr613
Dxo,Dxo
Acsm1,Acsm1
Zfp36l2,Zfp36l2
Dscr3,Dscr3
Ift52,Ift52
Blvrb,Blvrb
Mcoln3,Mcoln3
Skiv2l,Skiv2l
Slc16a11,Slc16a11
Sucnr1,Sucnr1
Kctd12,Kctd12
Slc16a13,Slc16a13
Otud7a,Otud7a
Acod1,Acod1
Tmprss4,Tmprss4
Tulp4,Tulp4
Dtwd1,Dtwd1
Cdc7,Cdc7
Grem1,Grem1
Zfp58,Zfp58
Dtx2,Dtx2
Pde8a,Pde8a
Dner,Dner
Akap5,Akap5
Fnbp1l,Fnbp1l
Ggn,Ggn
Zmym5,Zmym5
Kcnk6,Kcnk6
Atp6v1g3,Atp6v1g3
Ociad2,Ociad2
Gcnt2,Gcnt2
Egf,Egf
Pak1ip1,Pak1ip1
Zmym2,Zmym2
Olfr1270,Olfr1270
Pex10,Pex10
Olfr790,Olfr790
Oc90,Oc90
Ttpal,Ttpal
Arhgap18,Arhgap18
Phox2b,Phox2b
Olfr279,Olfr279
Hoxa4,Hoxa4
Il1rn,Il1rn
Tuba1c,Tuba1c
Klf13,Klf13
Raver2,Raver2
Olfr618,Olfr618
Cwh43,Cwh43
Celf2,Celf2
Il10ra,Il10ra
Plxna4,Plxna4
Olfr619,Olfr619
Jun,Jun
1700056E22Rik,1700056E22Rik
Tom1l1,Tom1l1
Tmem33,Tmem33
Dlst,Dlst
Tgfbr3,Tgfbr3
Lbx1,Lbx1
Snx6,Snx6
Ptprj,Ptprj
Ccdc96,Ccdc96
Acsm4,Acsm4
Wdr17,Wdr17
Acot7,Acot7
Gucy2e,Gucy2e
Klhl4,Klhl4
Eif1b,Eif1b
Cox11,Cox11
Zfp787,Zfp787
2200002D01Rik,2200002D01Rik
Tmem26,Tmem26
C2cd6,C2cd6
Slc27a6,Slc27a6
Slc6a17,Slc6a17
Phka2,Phka2
Olfr722,Olfr722
Exosc2,Exosc2
Olfr622,Olfr622
Nfyb,Nfyb
Rtl9,Rtl9
Ern2,Ern2
Psat1,Psat1
Fam89a,Fam89a
Ntng1,Ntng1
Ccnt1,Ccnt1
Lama2,Lama2
Irgc1,Irgc1
Onecut2,Onecut2
Atxn7l3b,Atxn7l3b
Adamtsl3,Adamtsl3
Mrgprx1,Mrgprx1
Lca5,Lca5
Hdac2,Hdac2
2310007B03Rik,2310007B03Rik
Plaur,Plaur
Parp9,Parp9
Pbdc1,Pbdc1
Sp9,Sp9
Frmpd4,Frmpd4
Nedd4l,Nedd4l
Kpna1,Kpna1
Cdh13,Cdh13
Lrit3,Lrit3
Rrh,Rrh
Gria1,Gria1
A730017C20Rik,A730017C20Rik
Aox1,Aox1
Scgb2a2,Scgb2a2
Gnaq,Gnaq
Ctnnd2,Ctnnd2
Myt1l,Myt1l
Cadm4,Cadm4
Marcks,Marcks
Usp40,Usp40
1700123L14Rik,1700123L14Rik
Fam19a1,Fam19a1
P4ha3,P4ha3
4930502E18Rik,4930502E18Rik
Asph,Asph
Gm20403,Gm20403
Hoxd11,Hoxd11
Serhl,Serhl
Cblb,Cblb
Hoxd9,Hoxd9
Sass6,Sass6
Ado,Ado
Olfr623,Olfr623
Zfp444,Zfp444
Jaml,Jaml
Hoxd8,Hoxd8
Tlr2,Tlr2
Olfr877,Olfr877
Hoxd3,Hoxd3
Gpr153,Gpr153
Olfr145,Olfr145
Hoxa10,Hoxa10
Scn2b,Scn2b
Trmt13,Trmt13
Trappc8,Trappc8
Guca2b,Guca2b
Nell2,Nell2
Srpk2,Srpk2
Zfp365,Zfp365
Lrrc39,Lrrc39
Tmem117,Tmem117
Mblac1,Mblac1
Nxpe5,Nxpe5
Acsm3,Acsm3
Foxl2,Foxl2
Angel1,Angel1
Slc7a14,Slc7a14
Irgq,Irgq
5430427O19Rik,5430427O19Rik
Gpr101,Gpr101
Prkcb,Prkcb
Pinlyp,Pinlyp
Bag1,Bag1
Ocel1,Ocel1
Fam184a,Fam184a
Nr2f6,Nr2f6
Akirin1,Akirin1
Hoxa11,Hoxa11
Erbb4,Erbb4
Immp2l,Immp2l
Psd4,Psd4
Zic3,Zic3
Hoxd1,Hoxd1
Il1rl2,Il1rl2
Gemin2,Gemin2
Galnt12,Galnt12
Hoxa13,Hoxa13
Slc30a9,Slc30a9
Fat1,Fat1
Klhl14,Klhl14
Pglyrp1,Pglyrp1
Fam217a,Fam217a
Pcdh10,Pcdh10
Hhla1,Hhla1
Cd38,Cd38
Col24a1,Col24a1
Olfr629,Olfr629
Adam29,Adam29
Gar1,Gar1
Evx1,Evx1
Galnt15,Galnt15
Rfx3,Rfx3
Icmt,Icmt
Hsbp1,Hsbp1
Il1rapl1,Il1rapl1
Olfr803,Olfr803
Nr2c2ap,Nr2c2ap
Kcnq3,Kcnq3
Lama4,Lama4
Ushbp1,Ushbp1
Atf4,Atf4
Gas8,Gas8
Prdm9,Prdm9
Six3,Six3
Pabpc4l,Pabpc4l
Cacng2,Cacng2
Nol10,Nol10
Tmem258,Tmem258
Chd3os,Chd3os
Hist1h2bk,Hist1h2bk
Fam19a4,Fam19a4
Glra3,Glra3
Olfr807,Olfr807
Dcaf10,Dcaf10
Trip12,Trip12
Slc41a2,Slc41a2
Vps13a,Vps13a
Agtpbp1,Agtpbp1
Ear1,Ear7
Ear1,Ear10
Ear1,Ear11
Tnfrsf8,Tnfrsf8
Dph3,Dph3
Ap3b2,Ap3b2
Olfr808,Olfr808
Gramd1b,Gramd1b
Ctnnb1,Ctnnb1
Olfr891,Olfr891
Trim3,Trim3
Hbb-bh1,Hbb-bh1
Ppme1,Ppme1
Arhgef26,Arhgef26
Clvs1,Clvs1
2310009B15Rik,2310009B15Rik
Fgfbp3,Fgfbp3
Fbxw4,Fbxw4
Ano6,Ano6
Fbxo16,Fbxo16
Col16a1,Col16a1
Olfr729,Olfr729
Foxc2,Foxc2
Cacna1i,Cacna1i
Adhfe1,Adhfe1
Zfp395,Zfp395
Olfr731,Olfr731
C130074G19Rik,C130074G19Rik
Rtp3,Rtp3
St6gal2,St6gal2
Olfr64,Olfr64
Chchd3,Chchd3
Siglech,Siglech
Il18r1,Il18r1
Pet2,Pet2
Fgfbp1,Fgfbp1
Kif5b,Kif5b
Gpr1,Gpr1
Apold1,Apold1
Mrpl52,Mrpl52
Olfr821,Olfr821
Gzmm,Gzmm
Cryba1,Cryba1
Taf2,Taf2
Nufip2,Nufip2
Slain1,Slain1
Ednrb,Ednrb
Gas1,Gas1
2700049A03Rik,2700049A03Rik
Vmn1r70,Vmn1r70
Dcun1d4,Dcun1d4
Tlr11,Tlr11
Tysnd1,Tysnd1
Hmga1b,Hmga1
Pou4f1,Pou4f1
BC048679,BC048679
Dnajb9,Dnajb9
Naa38,Naa38
Nova2,Nova2
Ear10,Ear7
Ear10,Ear10
Ear10,Ear11
Zcchc10,Zcchc10
Tceal8,Tceal8
Amn1,Amn1
Mypop,Mypop
Med27,Med27
Ttll6,Ttll6
Ina,Ina
Kdm6b,Kdm6b
Nt5c2,Nt5c2
Ly6g6e,Ly6g6e
Dffa,Dffa
Ly6g6d,Ly6g6d
4932443I19Rik,4932443I19Rik
C1qtnf4,C1qtnf4
Fam214b,Fam214b
Arhgef19,Arhgef19
Rfxap,Rfxap
Dedd2,Dedd2
Prorsd1,Prorsd1
Mlf1,Mlf1
Gfi1,Gfi1
Prpf40b,Prpf40b
Csad,Csad
Dnah2,Dnah2
Egln1,Egln1
Slc30a1,Slc30a1
Cfap77,Cfap77
Il18rap,Il18rap
Ptges2,Ptges2
Sycn,Sycn
Hoxb9,Hoxb9
Rbm26,Rbm26
Tceal5,Tceal5
Angpt1,Angpt1
Irf2bp1,Irf2bp1
Zfp526,Zfp526
Leng9,Leng9
Chrac1,Chrac1
Ago2,Ago2
Cyp4v3,Cyp4v3
Znhit6,Znhit6
Ppp1r14a,Ppp1r14a
Phf20l1,Phf20l1
Tomm40,Tomm40
Klf17,Klf17
Nol4,Nol4
Lrrc74a,Lrrc74a
H1fx,H1fx
Rasip1,Rasip1
Nacad,Nacad
Mpdz,Mpdz
Izumo1,Izumo1
Phlda1,Phlda1
Obp2a,Obp2a
Tex22,Tex22
Sox6,Sox6
Lxn,Lxn
Spata18,Spata18
Ttf1,Ttf1
Tceal9,Tceal9
Gfm1,Gfm1
Olfr827,Olfr827
Olfr744,Olfr744
Dgkg,Dgkg
Plin5,Plin5
Scara5,Scara5
Il17d,Il17d
Uqcrq,Uqcrq
Neurod4,Neurod4
Figla,Figla
Nkain1,Nkain1
Nt5c1b,Nt5c1b
Zfp68,Zfp68
Efl1,Efl1
Ubqlnl,Ubqlnl
Mthfd2l,Mthfd2l
Ndfip2,Ndfip2
Rhobtb1,Rhobtb1
